NAICS  Code,Kind of Business,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018
,"Retail and food services sales, total","444,701","436,018","509,325","481,516","529,261","508,292","506,514","521,962","478,595","505,194","520,956","559,289"
,Retail sales and food services excl motor vehicle and parts,"357,653","347,476","400,975","383,268","421,322","404,591","403,834","414,771","383,620","407,148","426,577","459,067"
,Retail sales and food services excl gasoline stations,"407,162","400,464","468,653","440,464","483,501","463,164","461,012","475,672","435,573","459,595","480,203","522,235"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"320,114","311,922","360,303","342,216","375,562","359,463","358,332","368,481","340,598","361,549","385,824","422,013"
,"Retail sales, total","390,170","381,258","445,835","421,257","465,223","444,720","442,975","457,386","418,629","443,581","461,965","496,469"
,"Retail sales, total (excl. motor vehicle and parts dealers)","303,122","292,716","337,485","323,009","357,284","341,019","340,295","350,195","323,654","345,535","367,586","396,247"
,GAFO(1),"90,813","92,780","108,698","99,156","110,841","106,233","105,545","112,062","100,721","105,660","122,523","147,140"
441,Motor vehicle and parts dealers,"87,048","88,542","108,350","98,248","107,939","103,701","102,680","107,191","94,975","98,046","94,379","100,222"
"4411, 4412",Automobile and other motor vehicle dealers,"80,062","81,765","100,330","90,756","99,850","95,786","94,748","98,950","87,449","89,857","86,713","93,185"
4411,Automobile dealers,"75,875","76,724","93,316","83,245","91,475","87,380","87,371","91,578","81,457","84,237","81,684","88,553"
44111,New car dealers,"67,039","66,801","82,057","73,702","81,379","77,603","77,583","81,497","72,506","75,133","73,028","80,177"
44112,Used car dealers,"8,836","9,923","11,259","9,543","10,096","9,777","9,788","10,081","8,951","9,104","8,656","8,376"
4413,"Automotive parts, acc., and tire stores","6,986","6,777","8,020","7,492","8,089","7,915","7,932","8,241","7,526","8,189","7,666","7,037"
"442, 443","Furniture, home furn, electronics, and appliance stores","16,467","15,935","18,084","16,467","17,799","17,713","17,563","18,545","17,312","17,548","20,868","22,799"
442,Furniture and home furnishings stores,"8,686","8,504","10,016","9,205","9,949","9,751","9,740","10,209","9,573","9,758","10,579","10,925"
