NAICS  Code,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017
,"Retail and food services sales, total","422,066","418,520","483,667","466,647","495,849","483,003","476,520","491,564","470,724","477,120","499,276","559,854"
,Retail sales and food services excl motor vehicle and parts,"337,831","330,086","378,484","370,315","391,280","381,429","375,379","387,947","371,946","380,941","405,752","461,053"
,Retail sales and food services excl gasoline stations,"387,322","385,458","445,893","428,539","455,987","443,933","437,733","451,416","430,543","436,672","460,496","521,355"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"303,087","297,024","340,710","332,207","351,418","342,359","336,592","347,799","331,765","340,493","366,972","422,554"
,"Retail sales, total","369,241","365,865","423,634","408,175","435,790","424,415","418,069","433,057","413,638","418,956","443,586","498,725"
,"Retail sales, total (excl. motor vehicle and parts dealers)","285,006","277,431","318,451","311,843","331,221","322,841","316,928","329,440","314,860","322,777","350,062","399,924"
,GAFO(1),"89,292","89,940","102,933","100,385","103,937","102,889","102,344","108,444","100,469","102,840","119,088","149,902"
441,Motor vehicle and parts dealers,"84,235","88,434","105,183","96,332","104,569","101,574","101,141","103,617","98,778","96,179","93,524","98,801"
"4411, 4412",Automobile and other motor vehicle dealers,"77,407","81,691","97,051","88,867","96,665","93,660","93,470","95,597","91,196","88,478","86,006","91,638"
4411,Automobile dealers,"73,743","76,778","90,030","81,286","88,544","85,345","86,294","88,857","85,364","83,311","81,569","87,067"
44111,New car dealers,"65,246","67,180","79,075","72,049","78,818","75,567","76,767","79,225","76,099","74,172","72,975","78,841"
44112,Used car dealers,"8,497","9,598","10,955","9,237","9,726","9,778","9,527","9,632","9,265","9,139","8,594","8,226"
4413,"Automotive parts, acc., and tire stores","6,828","6,743","8,132","7,465","7,904","7,914","7,671","8,020","7,582","7,701","7,518","7,163"
"442, 443","Furniture, home furn, electronics, and appliance stores","15,732","15,367","17,594","15,661","17,008","17,029","16,742","17,795","17,251","17,086","20,873","23,467"
442,Furniture and home furnishings stores,"8,255","8,222","9,626","8,562","9,394","9,334","9,207","9,825","9,471","9,441","10,487","11,211"
4421,Furniture stores,"4,518","4,625","5,319","4,612","4,992","4,937","4,956","5,078","5,041","4,909","5,312","5,255"
4422,Home furnishings stores,"3,737","3,597","4,307","3,950","4,402","4,397","4,251","4,747","4,430","4,532","5,175","5,956"
44221,Floor covering stores,"1,407","1,455",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
442299,All other home furnishings stores,"2,179","1,979","2,316","2,117","2,401","2,308","2,317","2,560","2,294","2,330","3,032","3,982"
443,Electronics and appliance stores,"7,477","7,145","7,968","7,099","7,614","7,695","7,535","7,970","7,780","7,645","10,386","12,256"
443141,Household appliance stores,"1,270","1,258","1,456","1,317","1,416","1,411","1,361","1,353","1,351","1,326","1,474","1,398"
443142,Electronics stores,"6,207","5,887","6,512","5,782","6,198","6,284","6,174","6,617","6,429","6,319","8,912","10,858"
444,Building mat. and garden equip. and supplies dealers,"23,330","23,486","30,536","32,663","37,261","35,011","31,485","31,789","30,404","31,151","30,562","27,944"
4441,Building mat. and supplies dealers,"21,078","20,814","26,299","27,069","31,058","30,153","27,719","28,328","27,273","27,833","27,146","24,463"
44412,Paint and wallpaper stores,759,786,996,953,"1,103","1,138","1,066","1,147","1,039","1,063",918,809
44413,Hardware stores,"1,714","1,630","2,044","2,121","2,345","2,298","2,109","2,161","2,078","2,178","2,075","2,147"
445,Food and beverage stores,"57,469","54,181","59,912","59,282","61,805","60,257","61,323","61,122","60,001","60,471","61,783","67,531"
4451,Grocery stores,"52,120","48,805","53,915","53,191","55,250","53,743","54,704","54,629","53,701","54,116","54,992","58,647"
44511,Supermarkets and other grocery (except convenience) stores,"50,068","46,798","51,644","50,828","52,768","51,328","52,228","52,178","51,236","51,650","52,636","56,274"
4453,"Beer, wine, and liquor stores","3,740","3,774","4,266","4,273","4,673","4,703","4,828","4,677","4,568","4,567","4,879","6,284"
446,Health and personal care stores,"26,468","25,452","28,325","26,598","28,205","27,657","26,745","28,427","27,321","28,558","28,162","31,420"
44611,Pharmacies and drug stores,"22,379","21,234","23,348","22,294","23,737","23,055","22,295","23,540","22,628","24,105","23,359","25,422"
447,Gasoline stations,"34,744","33,062","37,774","38,108","39,862","39,070","38,787","40,148","40,181","40,448","38,780","38,499"
448,Clothing and clothing access. stores,"15,791","17,900","21,217","21,052","21,831","20,527","20,727","22,715","19,873","20,455","24,588","33,890"
4481,Clothing stores,"11,769","12,632","15,734","15,651","15,944","15,353","15,350","16,359","14,710","15,372","18,444","23,478"
44811,Men's clothing stores,559,578,715,746,781,717,614,640,676,662,699,911
44812,Women's clothing stores,"2,454","2,763","3,485","3,624","3,616","3,341","3,199","3,293","3,122","3,299","3,774","4,690"
44814,Family clothing stores,"6,065","6,585","8,428","8,497","8,682","8,445","8,770","9,186","8,133","8,686","10,709","13,729"
44819,Other clothing stores,"1,470","1,414","1,546","1,349","1,452","1,468","1,363","1,554","1,346","1,285","1,501","1,805"
4482,Shoe stores,"2,099","2,620","3,166","3,013","2,861","2,713","2,923","3,856","2,714","2,613","3,044","4,104"
44831,Jewelry stores,"1,754","2,452","2,117","2,188","2,767","2,255","2,222","2,283","2,236","2,253","2,837","5,889"
451,"Sporting goods, hobby, musical instrument, and book stores","6,242","5,570","6,647","6,359","6,576","6,736","6,527","7,667","6,758","6,390","7,820","10,896"
45111,Sporting goods stores,"2,900","2,973","3,709","3,576","3,730","4,031","3,842","4,146","3,507","3,341","3,927","5,429"
45112,"Hobby, toy, and game stores","1,178","1,177","1,350","1,274","1,243","1,174","1,189","1,238","1,343","1,439","2,229","3,241"
451211,Book stores,"1,386",676,695,717,771,689,651,"1,378",980,655,663,"1,114"
452,General merchandise stores,"49,392","49,111","55,259","55,185","56,165","56,308","55,982","57,478","54,177","56,132","63,478","78,456"
4521,Department stores,"9,232","9,765","11,453","11,291","11,664","11,405","11,153","11,969","10,745","11,030","14,719","20,241"
452111,Department stores(excl. discount department stores),"2,956","3,393","3,914","3,936","4,137","3,806","3,651","3,745","3,690","3,719","5,087","8,231"
452112,Discount dept. stores,"6,276","6,372","7,539","7,355","7,527","7,599","7,502","8,224","7,055","7,311","9,632","12,010"
4529,Other general merchandise stores,"40,160",39346,43806,"43,894","44,501","44,903","44,829","45,509","43,432","45,102","48,759","58,215"
45291,Warehouse clubs and superstores,"34,732","33,791","37,502","37,585","38,031","38,441","38,578","39,165","37,270","38,689","41,814","49,724"
45299,All other gen. merchandise stores,"5,428","5,555","6,304","6,309","6,470","6,462","6,251","6,344","6,162","6,413","6,945","8,491"
453,Miscellaneous store retailers,"8,748","8,929","10,038","9,813","11,292","10,635","10,392","10,904","10,340","10,806","10,846","11,795"
4532,"Office supplies, stationery, and gift stores","2,135","1,992","2,216","2,128","2,357","2,289","2,366","2,789","2,410","2,777","2,329","3,193"
45321,Office supplies and stationery stores,"1,186",971,"1,060",924,965,902,933,"1,403","1,087",953,931,"1,030"
45322,"Gift, novelty, and souvenir stores",949,"1,021","1,156","1,204","1,392","1,387","1,433","1,386","1,323","1,824","1,398","2,163"
45330,Used merchandise stores,"1,338","1,366","1,562","1,449","1,523","1,454","1,517","1,600","1,566","1,719","1,631","1,647"
454,Nonstore retailers,"47,090","44,373","51,149","47,122","51,216","49,611","48,218","51,395","48,554","51,280","63,170","76,026"
4541,Electronic shopping and mail-order houses,"39,971","37,782","43,957","41,295","44,958","43,718","42,851","45,435","42,636","44,850","55,947","67,898"
45431,Fuel dealers,"3,357","2,869","2,863","1,806","1,623","1,385","1,250","1,450","1,577","2,009","2,761","3,777"
722,Food services and drinking places,"52,825","52,655","60,033","58,472","60,059","58,588","58,451","58,507","57,086","58,164","55,690","61,129"
7224,Drinking places,"2,079","2,059","2,400","2,236","2,304","2,217","2,282","2,228","2,289","2,337","2,198","2,369"
7225,Restaurants and other eating places,"46,310","45,767","52,336","50,738","52,376","51,553","51,746","51,505","48,963","49,932","48,090","53,549"
722511,Full service restaurants,"23,142","23,046","26,041","25,106","25,529","24,857","24,749","24,531","23,437","23,840","23,307","27,250"
"722513, 722514, 722515",Limited service eating places,"23,168","22,721","26,295","25,632","26,847","26,696","26,997","26,974","25,526","26,092","24,783","26,299"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
