NAICS  Code,Kind of Business,Jan. 2002,Feb. 2002,Mar. 2002,Apr. 2002,May 2002,Jun. 2002,Jul. 2002,Aug. 2002,Sep. 2002,Oct. 2002,Nov. 2002,Dec. 2002
,"Retail and food services sales, total","255,598","253,086","285,261","284,747","300,402","288,854","295,433","307,256","273,189","287,540","290,705","337,006"
,Retail sales and food services excl motor vehicle and parts,"195,033","190,149","215,490","213,955","228,248","217,787","219,025","227,673","208,039","221,211","230,116","273,540"
,Retail sales and food services excl gasoline stations,"238,094","236,382","265,428","263,641","278,174","267,188","272,452","284,125","251,811","265,275","269,818","316,070"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"177,529","173,445","195,657","192,849","206,020","196,121","196,044","204,542","186,661","198,946","209,229","252,604"
,"Retail sales, total","230,546","228,084","257,133","257,357","271,682","260,385","266,795","277,716","246,350","259,945","263,738","308,821"
,"Retail sales, total (excl. motor vehicle and parts dealers)","169,981","165,147","187,362","186,565","199,528","189,318","190,387","198,133","181,200","193,616","203,149","245,355"
,GAFO(1),"63,242","64,043","73,116","69,137","74,799","72,042","70,434","78,050","68,301","73,606","85,664","120,273"
441,Motor vehicle and parts dealers,"60,565","62,937","69,771","70,792","72,154","71,067","76,408","79,583","65,150","66,329","60,589","63,466"
"4411, 4412",Automobile and other motor vehicle dealers,"55,799","58,319","64,656","65,420","66,622","65,644","70,738","73,817","60,031","60,823","55,631","58,689"
4411,Automobile dealers,"52,948","54,817","60,116","60,242","61,020","60,575","65,824","69,228","56,437","57,414","52,483","55,578"
44111,New car dealers,"48,146","49,591","54,904","54,982","55,678","55,376","60,595","63,686","51,582","52,271","47,747","51,201"
44112,Used car dealers,"4,802","5,226","5,212","5,260","5,342","5,199","5,229","5,542","4,855","5,143","4,736","4,377"
4413,"Automotive parts, acc., and tire stores","4,766","4,618","5,115","5,372","5,532","5,423","5,670","5,766","5,119","5,506","4,958","4,777"
"442, 443","Furniture, home furn, electronics, and appliance stores","14,342","13,916","15,029","13,882","15,047","14,591","14,716","15,755","14,231","14,809","17,191","22,137"
442,Furniture and home furnishings stores,"7,149","7,091","7,777","7,370","7,991","7,502","7,671","8,205","7,456","7,859","8,839","9,528"
4421,Furniture stores,"4,097","4,112","4,448","4,110","4,403","4,150","4,150","4,371","4,047","4,182","4,677","4,517"
4422,Home furnishings stores,"3,052","2,979","3,329","3,260","3,588","3,352","3,521","3,834","3,409","3,677","4,162","5,011"
44221,Floor covering stores,"1,409","1,420","1,576","1,608","1,684","1,586","1,606","1,738","1,592","1,671","1,627","1,508"
