NAICS  Code,Kind of Business,Jan. 2000,Feb. 2000,Mar. 2000,Apr. 2000,May-00,Jun. 2000,Jul. 2000,Aug. 2000,Sep. 2000,Oct. 2000,Nov. 2000,Dec. 2000
,"Retail and food services sales, total","236,422","250,580","279,515","264,417","283,706","281,288","271,146","283,944","269,155","270,899","276,507","319,958"
,Retail sales and food services excl motor vehicle and parts,"177,649","183,688","204,448","198,431","210,656","208,286","203,886","212,094","203,320","207,094","218,058","263,717"
,Retail sales and food services excl gasoline stations,"218,729","232,286","258,696","244,649","262,492","259,046","248,882","261,806","247,487","249,187","255,609","298,852"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"159,956","165,394","183,629","178,663","189,442","186,044","181,622","189,956","181,652","185,382","197,160","242,611"
,"Retail sales, total","213,709","227,087","253,717","239,051","257,581","255,066","244,445","257,487","243,624","245,167","252,145","294,197"
,"Retail sales, total (excl. motor vehicle and parts dealers)","154,936","160,195","178,650","173,065","184,531","182,064","177,185","185,637","177,789","181,362","193,696","237,956"
,GAFO(1),"57,190","60,334","67,532","66,185","69,726","68,326","66,631","72,694","67,939","68,835","81,436","115,911"
441,Motor vehicle and parts dealers,"58,773","66,892","75,067","65,986","73,050","73,002","67,260","71,850","65,835","63,805","58,449","56,241"
"4411, 4412",Automobile and other motor vehicle dealers,"54,082","62,015","69,456","60,834","67,449","67,296","61,915","66,022","60,378","58,515","53,412","51,397"
4411,Automobile dealers,"51,413","58,828","64,815","56,524","62,467","62,396","57,942","62,020","56,972","55,319","50,547","48,539"
44111,New car dealers,"47,032","53,501","59,381","51,683","57,481","57,235","52,953","56,931","52,112","50,745","46,458","44,611"
44112,Used car dealers,"4,381","5,327","5,434","4,841","4,986","5,161","4,989","5,089","4,860","4,574","4,089","3,928"
4413,"Automotive parts, acc., and tire stores","4,691","4,877","5,611","5,152","5,601","5,706","5,345","5,828","5,457","5,290","5,037","4,844"
"442, 443","Furniture, home furn, electronics, and appliance stores","13,840","14,126","14,999","13,845","14,614","14,439","14,417","15,369","14,546","14,430","16,344","20,623"
442,Furniture and home furnishings stores,"6,638","6,989","7,622","7,134","7,635","7,487","7,508","7,974","7,535","7,667","8,346","8,635"
4421,Furniture stores,"3,897","4,072","4,363","4,032","4,256","4,175","4,205","4,340","4,201","4,157","4,485","4,434"
4422,Home furnishings stores,"2,741","2,917","3,259","3,102","3,379","3,312","3,303","3,634","3,334","3,510","3,861","4,201"
44221,Floor covering stores,"1,370","1,451","1,709","1,563","1,719","1,721","1,606","1,802","1,650","1,768","1,710","1,450"
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443,Electronics and appliance stores,"7,202","7,137","7,377","6,711","6,979","6,952","6,909","7,395","7,011","6,763","7,998","11,988"
443141,Household appliance stores,926,929,"1,013",962,"1,108","1,119","1,037","1,088","1,031","1,045","1,124","1,248"
443142,Electronics stores,"6,276","6,208","6,364","5,749","5,871","5,833","5,872","6,307","5,980","5,718","6,874","10,740"
444,Building mat. and garden equip. and supplies dealers,"15,381","16,170","19,956","20,044","23,003","21,690","19,639","20,171","18,751","19,482","17,816","16,891"
4441,Building mat. and supplies dealers,"13,314","14,047","17,061","16,665","18,953","18,499","17,261","17,919","16,546","17,228","15,650","14,506"
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413,Hardware stores,"1,071","1,033","1,312","1,425","1,593","1,547","1,440","1,429","1,324","1,322","1,303","1,380"
445,Food and beverage stores,"34,190","33,507","36,459","36,321","37,627","37,469","38,160","37,768","36,768","36,614","37,629","42,252"
4451,Grocery stores,"31,336","30,515","33,216","33,004","34,085","33,880","34,517","34,225","33,324","33,190","33,969","37,254"
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453,"Beer, wine, and liquor stores","1,920","1,976","2,190","2,132","2,357","2,413","2,463","2,422","2,358","2,352","2,549","3,375"
446,Health and personal care stores,"11,960","12,151","12,957","12,427","13,237","12,813","12,526","13,021","12,598","13,063","13,047","15,434"
44611,Pharmacies and drug stores,"10,071","10,132","10,818","10,458","11,110","10,680","10,520","10,945","10,587","11,085","11,105","13,346"
447,Gasoline stations,"17,693","18,294","20,819","19,768","21,214","22,242","22,264","22,138","21,668","21,712","20,898","21,106"
448,Clothing and clothing access. stores,"9,447","11,170","12,841","13,124","13,735","12,953","12,500","14,610","13,375","13,369","15,675","24,875"
4481,Clothing stores,"6,683","7,470","9,283","9,420","9,496","9,156","8,872","10,340","9,683","9,823","11,492","16,379"
44811,Men's clothing stores,635,611,707,759,770,750,719,789,751,787,897,"1,332"
44812,Women's clothing stores,"1,682","1,991","2,670","2,706","2,810","2,564","2,382","2,640","2,658","2,648","2,823","3,873"
44814,Family clothing stores,"3,272","3,627","4,460","4,525","4,577","4,527","4,437","5,183","4,672","4,859","6,082","8,692"
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482,Shoe stores,"1,396","1,587","1,901","2,005","1,962","1,878","1,849","2,363","1,855","1,737","1,857","2,485"
44831,Jewelry stores,"1,244","1,979","1,500","1,560","2,126","1,771","1,632","1,757","1,694","1,670","2,159","5,729"
451,"Sporting goods, hobby, musical instrument, and book stores","4,698","4,527","5,122","4,937","5,239","5,345","5,174","5,892","5,533","4,934","6,126","10,065"
45111,Sporting goods stores,"1,591","1,681","2,065","1,991","2,187","2,319","2,237","2,257","2,007","1,725","1,939","3,309"
45112,"Hobby, toy, and game stores",893,"1,002","1,106","1,136","1,072","1,098","1,124","1,132","1,175","1,285","2,161","3,763"
451211,Book stores,"1,505","1,090","1,031",975,"1,104","1,122","1,048","1,594","1,406","1,014","1,098","1,892"
452,General merchandise stores,"25,958","27,165","31,168","31,170","32,968","32,516","31,535","33,283","31,125","32,672","39,623","55,045"
4521,Department stores,"14,728","15,413","17,867","18,184","18,976","18,156","17,353","18,742","17,269","18,016","23,454","34,317"
452111,Department stores(excl. discount department stores),"5,738","6,335","7,339","7,351","7,680","7,180","6,798","7,651","7,250","7,478","9,881","15,601"
452112,Discount dept. stores,"8,990","9,078","10,528","10,833","11,296","10,976","10,555","11,091","10,019","10,538","13,573","18,716"
4529,Other general merchandise stores,"11,230",11752,13301,"12,986","13,992","14,360","14,182","14,541","13,856","14,656","16,169","20,728"
45291,Warehouse clubs and superstores,"9,180","9,472","10,742","10,509","11,339","11,721","11,587","11,873","11,343","11,996","13,143","16,709"
45299,All other gen. merchandise stores,"2,050","2,280","2,559","2,477","2,653","2,639","2,595","2,668","2,513","2,660","3,026","4,019"
453,Miscellaneous store retailers,"7,983","8,873","9,011","8,336","9,043","8,810","8,301","8,971","8,662","8,769","8,893","11,067"
4532,"Office supplies, stationery, and gift stores","3,247","3,346","3,402","3,109","3,170","3,073","3,005","3,540","3,360","3,430","3,668","5,303"
45321,Office supplies and stationery stores,"2,098","1,977","2,029","1,736","1,766","1,703","1,611","2,128","2,019","1,920","1,767","1,994"
45322,"Gift, novelty, and souvenir stores","1,149","1,369","1,373","1,373","1,404","1,370","1,394","1,412","1,341","1,510","1,901","3,309"
45330,Used merchandise stores,682,872,852,812,818,762,864,850,755,769,812,984
454,Nonstore retailers,"13,786","14,212","15,318","13,093","13,851","13,787","12,669","14,414","14,763","16,317","17,645","20,598"
4541,Electronic shopping and mail-order houses,"8,087","8,074","9,425","8,409","8,692","8,865","8,229","9,297","9,442","10,324","11,388","13,558"
