NAICS  Code,Kind of Business,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016
,"Retail and food services sales, total","402,018","415,183","461,190","451,435","470,425","465,058","462,195","472,032","448,870","453,318","467,956","540,506"
,Retail sales and food services excl motor vehicle and parts,"321,918","325,875","360,936","354,597","372,343","367,358","363,234","368,725","354,121","361,285","378,590","440,590"
,Retail sales and food services excl gasoline stations,"371,942","387,088","428,626","417,217","432,781","426,197","423,632","434,447","412,102","415,549","433,273","504,540"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"291,842","297,780","328,372","320,379","334,699","328,497","324,671","331,140","317,353","323,516","343,907","404,624"
,"Retail sales, total","351,931","363,688","405,312","395,099","413,410","410,449","406,195","416,863","394,600","397,627","414,703","483,081"
,"Retail sales, total (excl. motor vehicle and parts dealers)","271,831","274,380","305,058","298,261","315,328","312,749","307,234","313,556","299,851","305,594","325,337","383,165"
,GAFO(1),"89,309","94,293","103,725","98,155","103,414","101,586","102,328","106,812","98,002","101,303","114,320","148,366"
441,Motor vehicle and parts dealers,"80,100","89,308","100,254","96,838","98,082","97,700","98,961","103,307","94,749","92,033","89,366","99,916"
"4411, 4412",Automobile and other motor vehicle dealers,"73,316","82,156","92,251","89,337","90,471","89,730","91,401","95,297","87,251","84,441","82,093","92,446"
4411,Automobile dealers,"69,691","77,505","85,501","82,261","83,174","82,217","84,725","88,968","81,681","79,620","77,891","88,267"
44111,New car dealers,"62,053","67,236","75,554","73,168","74,684","73,321","75,982","79,681","73,260","70,828","70,027","79,802"
44112,Used car dealers,"7,638","10,269","9,947","9,093","8,490","8,896","8,743","9,287","8,421","8,792","7,864","8,465"
4413,"Automotive parts, acc., and tire stores","6,784","7,152","8,003","7,501","7,611","7,970","7,560","8,010","7,498","7,592","7,273","7,470"
"442, 443","Furniture, home furn, electronics, and appliance stores","15,770","16,209","17,191","15,659","16,555","16,839","16,964","17,828","17,325","16,475","19,659","22,973"
442,Furniture and home furnishings stores,"8,175","8,376","9,258","8,596","8,988","9,095","9,157","9,539","9,498","9,013","9,903","10,806"
4421,Furniture stores,"4,514","4,727","5,094","4,619","4,890","4,918","4,913","5,015","5,163","4,779","5,145","5,159"
4422,Home furnishings stores,"3,661","3,649","4,164","3,977","4,098","4,177","4,244","4,524","4,335","4,234","4,758","5,647"
44221,Floor covering stores,"1,405","1,450","1,720","1,670","1,694","1,821","1,746","1,875","1,805","1,737","1,668","1,628"
442299,All other home furnishings stores,"2,125","2,068","2,275","2,131","2,257","2,201","2,336","2,501","2,353","2,329","2,934","3,868"
443,Electronics and appliance stores,"7,595","7,833","7,933","7,063","7,567","7,744","7,807","8,289","7,827","7,462","9,756","12,167"
443141,Household appliance stores,"1,229","1,328","1,389","1,311","1,436","1,516","1,469","1,474","1,484","1,363","1,607","1,593"
443142,Electronics stores,"6,366","6,505","6,544","5,752","6,131","6,228","6,338","6,815","6,343","6,099","8,149","10,574"
444,Building mat. and garden equip. and supplies dealers,"21,968","23,157","29,911","32,399","34,650","34,154","30,050","29,849","28,761","28,481","28,480","26,837"
4441,Building mat. and supplies dealers,"19,640","20,560","25,446","26,858","28,797","29,028","26,698","26,738","25,708","25,368","25,523","23,610"
44412,Paint and wallpaper stores,691,770,949,961,999,"1,108","1,016","1,082","1,015",960,860,765
44413,Hardware stores,"1,686","1,698","2,053","2,088","2,193","2,138","1,998","2,027","1,876","1,979","1,849","2,023"
445,Food and beverage stores,"56,831","54,005","57,911","56,083","59,028","58,294","59,608","58,365","57,177","58,442","58,880","64,725"
4451,Grocery stores,"51,635","48,543","52,006","50,268","52,740","51,995","53,016","52,094","51,015","52,241","52,347","55,981"
44511,Supermarkets and other grocery (except convenience) stores,"49,680","46,590","49,821","48,084","50,386","49,599","50,459","49,640","48,715","49,979","50,200","53,825"
4453,"Beer, wine, and liquor stores","3,607","3,769","4,045","4,108","4,396","4,468","4,745","4,475","4,431","4,436","4,676","6,057"
446,Health and personal care stores,"26,095","26,755","28,315","26,924","27,450","27,281","26,408","27,716","26,920","26,373","26,484","30,432"
44611,Pharmacies and drug stores,"22,157","22,390","23,550","22,650","23,091","22,696","22,157","22,989","22,211","22,096","21,854","24,489"
447,Gasoline stations,"30,076","28,095","32,564","34,218","37,644","38,861","38,563","37,585","36,768","37,769","34,683","35,966"
448,Clothing and clothing access. stores,"15,685","18,926","21,477","20,412","21,648","20,157","20,676","22,394","19,816","20,544","23,704","34,611"
4481,Clothing stores,"11,611","13,170","15,940","15,024","15,721","15,029","15,346","16,171","14,822","15,500","17,727","23,871"
44811,Men's clothing stores,558,621,706,729,771,718,628,666,681,691,730,995
44812,Women's clothing stores,"2,477","2,939","3,659","3,519","3,606","3,240","3,141","3,388","3,170","3,274","3,718","4,714"
44814,Family clothing stores,"6,086","6,879","8,494","8,016","8,507","8,230","8,720","8,851","8,101","8,723","9,796","13,452"
44819,Other clothing stores,"1,247","1,346","1,460","1,355","1,317","1,398","1,320","1,545","1,376","1,293","1,677","2,217"
4482,Shoe stores,"2,115","2,880","3,169","2,855","2,893","2,724","3,013","3,823","2,737","2,698","3,025","4,233"
44831,Jewelry stores,"1,775","2,646","2,136","2,285","2,777","2,198","2,096","2,189","2,050","2,131","2,716","6,075"
451,"Sporting goods, hobby, musical instrument, and book stores","6,459","5,867","6,940","6,518","6,708","7,209","6,911","7,790","6,746","6,309","7,600","11,426"
45111,Sporting goods stores,"3,059","3,187","4,013","3,732","3,876","4,556","4,242","4,229","3,525","3,336","3,802","5,733"
45112,"Hobby, toy, and game stores","1,188","1,217","1,370","1,246","1,239","1,184","1,235","1,235","1,311","1,423","2,227","3,422"
