NAICS  Code,Kind of Business,Jan. 2003,Feb. 2003,Mar. 2003,Apr. 2003,May 2003,Jun. 2003,Jul. 2003,Aug. 2003,Sep. 2003,Oct. 2003,Nov. 2003,Dec. 2003
,"Retail and food services sales, total","268,328","259,051","293,693","294,251","312,389","300,998","309,923","317,056","293,890","304,036","301,265","357,577"
,Retail sales and food services excl motor vehicle and parts,"206,194","198,030","221,829","221,855","235,659","226,376","231,445","239,394","223,768","235,903","239,588","290,828"
,Retail sales and food services excl gasoline stations,"247,124","238,199","269,821","271,422","289,096","278,197","285,929","292,091","270,490","280,391","279,319","335,191"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"184,990","177,178","197,957","199,026","212,366","203,575","207,451","214,429","200,368","212,258","217,642","268,442"
,"Retail sales, total","242,271","233,478","264,532","265,990","281,482","271,242","279,323","285,212","265,331","273,781","272,396","327,693"
,"Retail sales, total (excl. motor vehicle and parts dealers)","180,137","172,457","192,668","193,594","204,752","196,620","200,845","207,550","195,209","205,648","210,719","260,944"
,GAFO(1),"65,160","64,466","71,997","71,294","76,942","73,813","74,664","82,179","72,786","77,420","88,885","126,508"
441,Motor vehicle and parts dealers,"62,134","61,021","71,864","72,396","76,730","74,622","78,478","77,662","70,122","68,133","61,677","66,749"
"4411, 4412",Automobile and other motor vehicle dealers,"57,364","56,368","66,594","66,968","71,174","69,078","72,642","71,996","64,633","62,411","56,568","61,576"
4411,Automobile dealers,"54,379","53,150","61,877","61,336","65,092","63,414","66,899","66,850","60,369","58,079","53,065","57,750"
44111,New car dealers,"49,170","47,673","56,000","55,764","59,506","58,090","61,433","61,356","55,297","53,065","48,537","53,314"
44112,Used car dealers,"5,209","5,477","5,877","5,572","5,586","5,324","5,466","5,494","5,072","5,014","4,528","4,436"
4413,"Automotive parts, acc., and tire stores","4,770","4,653","5,270","5,428","5,556","5,544","5,836","5,666","5,489","5,722","5,109","5,173"
"442, 443","Furniture, home furn, electronics, and appliance stores","14,212","13,265","14,511","13,728","15,036","14,829","15,295","16,235","15,230","15,728","17,835","23,682"
442,Furniture and home furnishings stores,"7,190","6,713","7,618","7,374","8,078","7,753","8,074","8,384","8,017","8,351","9,018","10,166"
4421,Furniture stores,"4,036","3,824","4,283","3,989","4,375","4,138","4,285","4,530","4,259","4,410","4,689","4,901"
4422,Home furnishings stores,"3,154","2,889","3,335","3,385","3,703","3,615","3,789","3,854","3,758","3,941","4,329","5,265"
44221,Floor covering stores,"1,429","1,351","1,572","1,552","1,677","1,662","1,713","1,678","1,720","1,805","1,691","1,693"
442299,All other home furnishings stores,"1,628","1,461","1,667","1,727","1,916","1,847","1,962","2,067","1,938","2,024","2,523","3,453"
443,Electronics and appliance stores,"7,022","6,552","6,893","6,354","6,958","7,076","7,221","7,851","7,213","7,377","8,817","13,516"
443141,Household appliance stores,"1,079",970,"1,096","1,067","1,165","1,216","1,285","1,273","1,218","1,265","1,305","1,525"
443142,Electronics stores,"5,943","5,582","5,797","5,287","5,793","5,860","5,936","6,578","5,995","6,112","7,512","11,991"
444,Building mat. and garden equip. and supplies dealers,"17,198","15,575","20,174","24,295","25,849","25,064","24,447","22,659","22,817","23,976","20,795","20,614"
4441,Building mat. and supplies dealers,"15,619","14,083","17,619","19,876","20,984","20,946","21,465","20,425","20,775","21,669","18,897","18,613"
44412,Paint and wallpaper stores,564,535,640,716,769,792,845,798,782,822,626,589
44413,Hardware stores,"1,185","1,110","1,338","1,492","1,747","1,670","1,622","1,544","1,492","1,507","1,443","1,524"
445,Food and beverage stores,"38,602","35,581","38,721","38,478","41,032","38,969","41,076","40,670","38,396","39,828","39,767","43,265"
4451,Grocery stores,"35,384","32,440","35,265","34,854","37,057","35,212","37,108","36,644","34,697","35,870","35,786","37,670"
44511,Supermarkets and other grocery (except convenience) stores,"33,618","30,796","33,438","33,102","35,203","33,364","35,141","34,704","32,872","34,025","34,097","35,914"
4453,"Beer, wine, and liquor stores","2,121","2,046","2,273","2,333","2,576","2,433","2,611","2,660","2,461","2,641","2,660","3,654"
446,Health and personal care stores,"15,534","14,773","15,849","15,736","16,170","15,504","16,004","16,002","15,718","16,516","15,708","18,912"
44611,Pharmacies and drug stores,"13,519","12,801","13,616","13,545","13,959","13,262","13,659","13,607","13,591","14,260","13,531","16,174"
447,Gasoline stations,"21,204","20,852","23,872","22,829","23,293","22,801","23,994","24,965","23,400","23,645","21,946","22,386"
448,Clothing and clothing access. stores,"10,804","11,662","13,452","13,691","14,730","13,496","13,854","15,522","13,567","14,601","16,555","26,760"
4481,Clothing stores,"7,920","7,941","9,949","9,992","10,522","9,853","10,140","11,175","10,042","10,875","12,209","17,743"
44811,Men's clothing stores,539,498,601,631,679,657,602,741,625,704,781,"1,191"
44812,Women's clothing stores,"2,055","2,091","2,619","2,724","2,813","2,536","2,450","2,597","2,627","2,793","2,951","4,309"
44814,Family clothing stores,"3,915","3,937","5,058","5,076","5,435","5,157","5,491","5,979","5,218","5,747","6,738","9,743"
44819,Other clothing stores,693,669,760,691,751,733,730,819,690,714,749,"1,224"
4482,Shoe stores,"1,420","1,599","1,910","1,972","1,997","1,812","1,912","2,449","1,777","1,839","1,908","2,572"
44831,Jewelry stores,"1,356","2,012","1,474","1,612","2,066","1,707","1,674","1,758","1,626","1,756","2,288","6,164"
451,"Sporting goods, hobby, musical instrument, and book stores","5,516","4,377","4,964","4,995","5,231","5,323","5,291","6,714","5,627","5,216","6,504","10,601"
45111,Sporting goods stores,"1,761","1,747","2,121","2,135","2,182","2,325","2,293","2,548","2,075","1,970","2,200","3,643"
45112,"Hobby, toy, and game stores",910,940,"1,111","1,139","1,088","1,064","1,094","1,087","1,095","1,286","2,223","3,545"
451211,Book stores,"2,056",991,925,975,"1,107","1,181","1,128","2,139","1,572","1,045","1,036","2,064"
452,General merchandise stores,"31,549","32,246","36,251","36,040","38,849","37,301","37,214","40,211","35,284","38,677","44,743","60,406"
4521,Department stores,"13,970","14,357","16,371","16,375","17,570","16,639","16,385","18,182","15,669","17,319","20,818","30,815"
452111,Department stores(excl. discount department stores),"5,206","5,393","6,290","6,388","6,962","6,432","6,142","7,058","6,287","6,744","8,449","13,795"
452112,Discount dept. stores,"8,764","8,964","10,081","9,987","10,608","10,207","10,243","11,124","9,382","10,575","12,369","17,020"
4529,Other general merchandise stores,"17,579",17889,19880,"19,665","21,279","20,662","20,829","22,029","19,615","21,358","23,925","29,591"
45291,Warehouse clubs and superstores,"15,163","15,345","17,000","16,627","18,067","17,608","17,747","18,906","16,729","18,135","20,318","24,641"
45299,All other gen. merchandise stores,"2,416","2,544","2,880","3,038","3,212","3,054","3,082","3,123","2,886","3,223","3,607","4,950"
453,Miscellaneous store retailers,"7,876","7,653","7,761","7,944","8,963","8,278","8,381","8,778","8,244","8,738","8,356","10,941"
4532,"Office supplies, stationery, and gift stores","3,079","2,916","2,819","2,840","3,096","2,864","3,010","3,497","3,078","3,198","3,248","5,059"
45321,Office supplies and stationery stores,"1,994","1,719","1,683","1,586","1,596","1,470","1,621","2,034","1,855","1,697","1,616","2,146"
45322,"Gift, novelty, and souvenir stores","1,085","1,197","1,136","1,254","1,500","1,394","1,389","1,463","1,223","1,501","1,632","2,913"
45330,Used merchandise stores,845,741,793,739,746,674,739,747,758,813,819,800
454,Nonstore retailers,"17,642","16,473","17,113","15,858","15,599","15,055","15,289","15,794","16,926","18,723","18,510","23,377"
4541,Electronic shopping and mail-order houses,"10,568","9,654","10,403","10,415","10,322","10,185","10,511","10,641","11,253","12,099","12,162","16,091"
45431,Fuel dealers,"3,827","3,496","2,993","2,045","1,639","1,473","1,571","1,683","1,818","2,270","2,199","3,400"
722,Food services and drinking places,"26,057","25,573","29,161","28,261","30,907","29,756","30,600","31,844","28,559","30,255","28,869","29,884"
7224,Drinking places,"1,328","1,280","1,478","1,407","1,523","1,403","1,477","1,572","1,434","1,508","1,428","1,421"
7225,Restaurants and other eating places,"22,599","22,103","25,193","24,445","26,711","25,877","26,690","27,552","24,320","25,781","24,780","26,062"
722511,Full service restaurants,"11,787","11,506","12,944","12,419","13,744","13,263","13,694","14,362","12,504","13,076","12,664","13,351"
"722513, 722514, 722515",Limited service eating places,"10,812","10,597","12,249","12,026","12,967","12,614","12,996","13,190","11,816","12,705","12,116","12,711"
