NAICS  Code,Kind of Business,Jan. 1994,Feb. 1994,Mar. 1994,Apr. 1994,May-94,Jun. 1994,Jul. 1994,Aug. 1994,Sep. 1994,Oct. 1994,Nov. 1994,Dec. 1994
,"Retail and food services sales, total","161,349","162,841","192,319","189,569","194,927","197,946","193,355","202,388","193,954","197,956","202,520","241,111"
,Retail sales and food services excl motor vehicle and parts,"124,850","123,634","143,525","141,977","147,862","148,644","147,625","154,061","147,603","151,778","158,908","198,627"
,Retail sales and food services excl gasoline stations,"148,635","150,548","178,672","175,924","180,576","183,226","178,217","186,792","179,232","183,100","187,984","226,107"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"112,136","111,341","129,878","128,332","133,511","133,924","132,487","138,465","132,881","136,922","144,372","183,623"
,"Retail sales, total","145,276","146,332","173,562","170,795","175,527","178,509","173,198","182,445","175,128","178,642","184,272","221,549"
,"Retail sales, total (excl. motor vehicle and parts dealers)","108,777","107,125","124,768","123,203","128,462","129,207","127,468","134,118","128,777","132,464","140,660","179,065"
,GAFO(1),"38,169","38,988","46,882","46,029","47,711","48,452","47,407","52,037","48,961","51,601","60,091","90,019"
441,Motor vehicle and parts dealers,"36,499","39,207","48,794","47,592","47,065","49,302","45,730","48,327","46,351","46,178","43,612","42,484"
"4411, 4412",Automobile and other motor vehicle dealers,"33,029","35,683","44,600","43,430","42,927","44,968","41,468","43,763","42,187","41,913","39,444","38,489"
4411,Automobile dealers,"32,059","34,391","42,411","40,973","40,507","42,280","39,162","41,652","40,272","39,790","37,734","36,869"
44111,New car dealers,"29,860","31,959","39,742","38,191","37,869","39,511","36,388","38,533","37,385","36,654","35,170","34,399"
44112,Used car dealers,"2,199","2,432","2,669","2,782","2,638","2,769","2,774","3,119","2,887","3,136","2,564","2,470"
4413,"Automotive parts, acc., and tire stores","3,470","3,524","4,194","4,162","4,138","4,334","4,262","4,564","4,164","4,265","4,168","3,995"
"442, 443","Furniture, home furn, electronics, and appliance stores","8,526","8,391","9,631","9,220","9,523","10,005","9,980","10,561","10,331","10,647","12,005","15,966"
442,Furniture and home furnishings stores,"4,018","4,140","4,827","4,700","4,867","4,958","4,980","5,356","5,203","5,328","5,734","6,305"
4421,Furniture stores,"2,535","2,557","2,916","2,824","2,860","2,891","2,925","3,077","3,064","3,039","3,272","3,543"
4422,Home furnishings stores,"1,483","1,583","1,911","1,876","2,007","2,067","2,055","2,279","2,139","2,289","2,462","2,762"
44221,Floor covering stores,785,838,"1,019","1,007","1,061","1,117","1,080","1,189","1,129","1,213","1,177","1,150"
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443,Electronics and appliance stores,"4,508","4,251","4,804","4,520","4,656","5,047","5,000","5,205","5,128","5,319","6,271","9,661"
443141,Household appliance stores,640,592,692,676,703,829,789,771,714,746,885,"1,008"
443142,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
444,Building mat. and garden equip. and supplies dealers,"9,725","9,861","12,658","13,937","15,025","14,724","13,602","14,320","13,803","13,894","12,991","12,688"
4441,Building mat. and supplies dealers,"8,393","8,487","10,682","11,314","12,236","12,445","11,852","12,720","12,139","12,266","11,557","11,008"
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413,Hardware stores,955,863,"1,049","1,228","1,292","1,266","1,212","1,189","1,132","1,194","1,160","1,238"
445,Food and beverage stores,"30,251","28,514","31,920","31,208","32,215","32,537","33,288","32,613","31,860","31,846","31,915","36,173"
4451,Grocery stores,"27,889","26,175","29,261","28,529","29,402","29,721","30,344","29,792","29,102","29,079","29,077","32,152"
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453,"Beer, wine, and liquor stores","1,548","1,505","1,714","1,757","1,830","1,857","1,981","1,858","1,823","1,806","1,845","2,577"
446,Health and personal care stores,"7,511","7,211","8,069","7,760","8,035","7,982","7,850","8,126","7,821","7,968","7,928","10,102"
44611,Pharmacies and drug stores,"6,504","6,205","6,926","6,622","6,788","6,670","6,573","6,829","6,570","6,777","6,800","8,730"
447,Gasoline stations,"12,714","12,293","13,647","13,645","14,351","14,720","15,138","15,596","14,722","14,856","14,536","15,004"
448,Clothing and clothing access. stores,"7,280","7,902","9,921","9,869","10,009","9,893","9,735","11,157","10,217","10,730","12,354","20,016"
4481,Clothing stores,"5,128","5,425","7,099","7,014","6,947","6,947","6,834","7,766","7,177","7,718","8,810","13,296"
44811,Men's clothing stores,688,632,762,774,791,819,719,754,754,836,935,"1,568"
44812,Women's clothing stores,"1,786","1,970","2,560","2,558","2,552","2,447","2,248","2,538","2,418","2,572","2,798","4,138"
44814,Family clothing stores,"1,996","2,126","2,875","2,806","2,782","2,875","2,968","3,353","3,028","3,313","3,975","6,006"
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482,Shoe stores,"1,191","1,238","1,705","1,628","1,637","1,624","1,620","1,985","1,710","1,598","1,699","2,272"
44831,Jewelry stores,897,"1,181","1,050","1,161","1,356","1,246","1,214","1,309","1,236","1,312","1,718","4,172"
451,"Sporting goods, hobby, musical instrument, and book stores","3,499","3,116","3,718","3,640","3,641","3,796","3,688","4,423","4,104","3,904","4,630","7,986"
45111,Sporting goods stores,"1,168","1,193","1,488","1,551","1,551","1,677","1,584","1,737","1,470","1,324","1,471","2,611"
45112,"Hobby, toy, and game stores",618,637,819,782,742,758,778,801,806,987,"1,677","3,445"
451211,Book stores,"1,053",635,634,610,684,724,678,"1,154","1,022",732,772,"1,409"
452,General merchandise stores,"17,084","17,665","21,680","21,420","22,421","22,639","21,852","23,503","22,083","24,098","28,624","42,121"
4521,Department stores,"11,666","12,160","15,196","14,901","15,504","15,622","15,036","16,426","15,248","16,680","20,226","30,280"
452111,Department stores(excl. discount department stores),"4,989","5,350","6,947","6,560","6,687","6,703","6,398","7,456","6,893","7,468","9,380","14,571"
452112,Discount dept. stores,"6,677","6,810","8,249","8,341","8,817","8,919","8,638","8,970","8,355","9,212","10,846","15,709"
4529,Other general merchandise stores,"5,418",5505,6484,"6,519","6,917","7,017","6,816","7,077","6,835","7,418","8,398","11,841"
