NAICS  Code,Kind of Business,Jan. 2009,Feb. 2009,Mar. 2009,Apr. 2009,May 2009,Jun. 2009,Jul. 2009,Aug. 2009,Sep. 2009,Oct. 2009,Nov. 2009,Dec. 2009
,"Retail and food services sales, total","310,188","299,412","328,526","329,854","347,728","344,405","348,071","353,392","324,646","338,610","339,363","400,281"
,Retail sales and food services excl motor vehicle and parts,"260,095","249,406","271,393","273,915","289,996","284,883","285,771","287,210","272,523","283,744","289,339","344,429"
,Retail sales and food services excl gasoline stations,"283,647","273,792","300,076","300,417","314,770","308,460","311,732","316,412","290,298","303,585","305,021","365,032"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"233,554","223,786","242,943","244,478","257,038","248,938","249,432","250,230","238,175","248,719","254,997","309,180"
,"Retail sales, total","273,998","264,465","290,068","292,041","307,481","306,050","308,847","314,505","288,071","300,360","303,850","362,735"
,"Retail sales, total (excl. motor vehicle and parts dealers)","223,905","214,459","232,935","236,102","249,749","246,528","246,547","248,323","235,948","245,494","253,826","306,883"
,GAFO(1),"81,348","80,415","84,735","84,743","90,415","85,806","86,616","92,055","83,173","88,123","97,840","132,928"
441,Motor vehicle and parts dealers,"50,093","50,006","57,133","55,939","57,732","59,522","62,300","66,182","52,123","54,866","50,024","55,852"
"4411, 4412",Automobile and other motor vehicle dealers,"44,342","44,283","50,742","49,549","51,414","52,877","55,733","59,811","46,011","48,457","44,357","49,970"
4411,Automobile dealers,"41,559","41,331","46,582","45,093","46,510","48,096","51,112","55,695","42,315","45,284","41,464","46,955"
44111,New car dealers,"36,015","35,243","40,565","39,441","41,068","42,442","45,635","49,947","37,120","40,085","36,810","42,194"
44112,Used car dealers,"5,544","6,088","6,017","5,652","5,442","5,654","5,477","5,748","5,195","5,199","4,654","4,761"
4413,"Automotive parts, acc., and tire stores","5,751","5,723","6,391","6,390","6,318","6,645","6,567","6,371","6,112","6,409","5,667","5,882"
"442, 443","Furniture, home furn, electronics, and appliance stores","15,200","14,721","14,504","13,538","14,294","14,495","14,737","14,991","14,215","13,926","16,806","21,221"
442,Furniture and home furnishings stores,"6,796","6,593","6,907","6,608","6,974","6,922","7,194","7,159","6,967","6,853","7,375","8,401"
4421,Furniture stores,"3,842","3,914","3,851","3,574","3,844","3,703","3,803","3,939","3,827","3,723","3,848","3,942"
4422,Home furnishings stores,"2,954","2,679","3,056","3,034","3,130","3,219","3,391","3,220","3,140","3,130","3,527","4,459"
44221,Floor covering stores,"1,182","1,138","1,230","1,256","1,247","1,422","1,441","1,338","1,319","1,304","1,215","1,210"
442299,All other home furnishings stores,"1,667","1,447","1,714","1,672","1,786","1,699","1,848","1,795","1,730","1,732","2,222","3,156"
443,Electronics and appliance stores,"8,404","8,128","7,597","6,930","7,320","7,573","7,543","7,832","7,248","7,073","9,431","12,820"
443141,Household appliance stores,"1,258","1,153","1,194","1,194","1,253","1,280","1,303","1,307","1,203","1,257","1,398","1,489"
443142,Electronics stores,"7,146","6,975","6,403","5,736","6,067","6,293","6,240","6,525","6,045","5,816","8,033","11,331"
444,Building mat. and garden equip. and supplies dealers,"17,600","17,064","21,503","24,970","26,952","26,356","24,004","21,522","21,302","21,265","19,916","19,183"
4441,Building mat. and supplies dealers,"15,702","15,177","18,571","20,626","22,160","22,043","21,029","19,344","19,376","19,076","17,562","16,808"
44412,Paint and wallpaper stores,560,558,656,713,707,787,798,747,718,668,561,483
44413,Hardware stores,"1,341","1,226","1,494","1,727","1,954","1,759","1,597","1,516","1,450","1,540","1,452","1,611"
445,Food and beverage stores,"47,103","42,602","45,731","46,450","49,142","46,954","48,915","47,863","46,219","47,895","47,405","52,139"
4451,Grocery stores,"42,942","38,522","41,312","41,781","44,034","42,147","43,839","42,995","41,538","43,020","42,508","45,395"
44511,Supermarkets and other grocery (except convenience) stores,"41,365","36,975","39,627","40,084","42,227","40,312","41,970","41,155","39,768","41,222","40,753","43,570"
4453,"Beer, wine, and liquor stores","2,913","2,781","3,024","3,130","3,467","3,307","3,555","3,399","3,263","3,425","3,356","4,625"
