NAICS  Code,Kind of Business,Jan. 1996,Feb. 1996,Mar. 1996,Apr. 1996,May-96,Jun. 1996,Jul. 1996,Aug. 1996,Sep. 1996,Oct. 1996,Nov. 1996,Dec. 1996
,"Retail and food services sales, total","185,019","192,380","212,110","211,718","226,936","217,511","218,111","226,062","209,250","222,663","223,953","258,081"
,Retail sales and food services excl motor vehicle and parts,"140,160","142,805","156,474","157,622","168,786","162,597","163,040","170,581","158,129","168,434","175,816","211,843"
,Retail sales and food services excl gasoline stations,"170,546","178,221","196,494","195,694","209,508","200,554","201,072","208,791","193,275","205,992","207,716","241,506"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"125,687","128,646","140,858","141,598","151,358","145,640","146,001","153,310","142,154","151,763","159,579","195,268"
,"Retail sales, total","167,372","173,941","191,851","191,886","205,797","196,842","197,140","204,270","189,424","201,927","203,621","237,478"
,"Retail sales, total (excl. motor vehicle and parts dealers)","122,513","124,366","136,215","137,790","147,647","141,928","142,069","148,789","138,303","147,698","155,484","191,240"
,GAFO(1),"43,533","45,999","51,526","51,479","55,557","53,585","52,522","58,714","53,061","56,556","65,498","94,583"
441,Motor vehicle and parts dealers,"44,859","49,575","55,636","54,096","58,150","54,914","55,071","55,481","51,121","54,229","48,137","46,238"
"4411, 4412",Automobile and other motor vehicle dealers,"40,774","45,392","51,156","49,404","53,269","50,191","50,106","50,510","46,624","49,156","43,541","41,820"
4411,Automobile dealers,"39,261","43,538","48,844","46,624","50,252","47,187","47,404","47,531","44,473","46,980","41,746","40,109"
44111,New car dealers,"36,390","40,087","44,798","42,745","46,525","43,649","43,833","44,020","41,252","43,454","38,484","37,103"
44112,Used car dealers,"2,871","3,451","4,046","3,879","3,727","3,538","3,571","3,511","3,221","3,526","3,262","3,006"
4413,"Automotive parts, acc., and tire stores","4,085","4,183","4,480","4,692","4,881","4,723","4,965","4,971","4,497","5,073","4,596","4,418"
"442, 443","Furniture, home furn, electronics, and appliance stores","10,614","10,431","11,419","10,925","11,517","11,376","11,564","12,151","11,525","12,044","13,353","16,848"
442,Furniture and home furnishings stores,"4,788","4,833","5,410","5,310","5,603","5,479","5,673","5,893","5,589","5,970","6,425","6,734"
4421,Furniture stores,"2,884","2,960","3,270","3,127","3,278","3,205","3,242","3,358","3,232","3,344","3,619","3,649"
4422,Home furnishings stores,"1,904","1,873","2,140","2,183","2,325","2,274","2,431","2,535","2,357","2,626","2,806","3,085"
44221,Floor covering stores,"1,039","1,006","1,135","1,225","1,242","1,211","1,303","1,322","1,244","1,371","1,292","1,249"
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443,Electronics and appliance stores,"5,826","5,598","6,009","5,615","5,914","5,897","5,891","6,258","5,936","6,074","6,928","10,114"
443141,Household appliance stores,748,699,784,802,858,853,855,899,817,856,944,"1,100"
443142,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
