NAICS  Code,Kind of Business,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015
,"Retail and food services sales, total","398,027","388,063","445,970","439,637","464,785","449,794","459,533","457,905","432,782","446,593","446,773","519,625"
,Retail sales and food services excl motor vehicle and parts,"319,600","308,551","349,551","345,965","367,361","355,194","361,777","360,007","342,010","356,193","362,679","426,487"
,Retail sales and food services excl gasoline stations,"365,582","356,480","409,198","402,567","423,532","407,974","416,658","416,970","396,151","409,573","413,750","487,025"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"287,155","276,968","312,779","308,895","326,108","313,374","318,902","319,072","305,379","319,173","329,656","393,887"
,"Retail sales, total","350,067","341,459","392,848","387,352","409,376","397,752","406,393","404,729","382,020","392,545","396,490","464,962"
,"Retail sales, total (excl. motor vehicle and parts dealers)","271,640","261,947","296,429","293,680","311,952","303,152","308,637","306,831","291,248","302,145","312,396","371,824"
,GAFO(1),"90,120","90,264","101,084","97,106","105,570","99,776","102,157","107,524","97,674","103,117","114,662","149,100"
441,Motor vehicle and parts dealers,"78,427","79,512","96,419","93,672","97,424","94,600","97,756","97,898","90,772","90,400","84,094","93,138"
"4411, 4412",Automobile and other motor vehicle dealers,"71,877","72,863","88,803","86,083","89,874","86,660","89,694","90,183","83,304","82,592","76,888","86,011"
4411,Automobile dealers,"68,415","68,917","82,636","79,486","82,885","79,754","83,376","84,447","78,083","77,759","73,135","81,557"
44111,New car dealers,"60,980","59,825","73,305","70,517","74,341","71,417","74,999","76,094","70,394","69,848","65,942","74,458"
44112,Used car dealers,"7,435","9,092","9,331","8,969","8,544","8,337","8,377","8,353","7,689","7,911","7,193","7,099"
4413,"Automotive parts, acc., and tire stores","6,550","6,649","7,616","7,589","7,550","7,940","8,062","7,715","7,468","7,808","7,206","7,127"
"442, 443","Furniture, home furn, electronics, and appliance stores","16,183","15,447","16,723","15,579","16,744","16,743","17,241","17,489","17,226","17,195","19,817","23,841"
442,Furniture and home furnishings stores,"7,964","7,514","8,616","8,261","8,893","8,576","9,110","9,148","8,967","9,108","9,488","10,925"
4421,Furniture stores,"4,434","4,265","4,769","4,383","4,889","4,655","4,834","4,977","5,045","4,907","4,963","5,188"
4422,Home furnishings stores,"3,530","3,249","3,847","3,878","4,004","3,921","4,276","4,171","3,922","4,201","4,525","5,737"
44221,Floor covering stores,"1,372","1,291","1,513","1,625","1,615","1,628","1,742","1,697","1,611","1,740","1,543","1,629"
442299,All other home furnishings stores,"2,034","1,831","2,180","2,111","2,246","2,155","2,401","2,342","2,177","2,323","2,847","3,970"
443,Electronics and appliance stores,"8,219","7,933","8,107","7,318","7,851","8,167","8,131","8,341","8,259","8,087","10,329","12,916"
443141,Household appliance stores,"1,262","1,238","1,401","1,322","1,498","1,508","1,521","1,415","1,448","1,383","1,535","1,591"
443142,Electronics stores,"6,957","6,695","6,706","5,996","6,353","6,659","6,610","6,926","6,811","6,704","8,794","11,325"
444,Building mat. and garden equip. and supplies dealers,"21,126","19,882","26,479","31,450","33,203","31,600","30,562","27,779","27,549","28,374","26,731","26,876"
4441,Building mat. and supplies dealers,"18,837","17,657","23,008","25,802","27,102","26,844","26,902","24,661","24,551","24,983","23,678","23,557"
44412,Paint and wallpaper stores,691,674,865,932,953,"1,055","1,055","1,004",990,964,781,747
44413,Hardware stores,"1,702","1,631","1,928","2,085","2,193","2,066","2,001","1,961","1,807","1,998","1,827","1,888"
445,Food and beverage stores,"56,540","51,943","56,508","55,480","59,074","56,625","59,103","57,785","55,633","57,575","57,008","62,107"
4451,Grocery stores,"51,377","46,905","50,933","49,828","52,888","50,610","52,738","51,738","49,863","51,595","50,972","53,712"
44511,Supermarkets and other grocery (except convenience) stores,"49,513","45,094","48,876","47,725","50,567","48,317","50,332","49,458","47,714","49,472","48,985","51,751"
4453,"Beer, wine, and liquor stores","3,572","3,482","3,857","3,867","4,335","4,217","4,532","4,260","4,073","4,273","4,266","5,816"
446,Health and personal care stores,"25,663","24,106","26,845","25,625","25,572","25,802","25,968","25,885","26,271","26,791","25,953","30,763"
44611,Pharmacies and drug stores,"21,713","20,085","22,366","21,551","21,461","21,489","21,774","21,533","22,018","22,625","21,642","25,212"
447,Gasoline stations,"32,445","31,583","36,772","37,070","41,253","41,820","42,875","40,935","36,631","37,020","33,023","32,600"
448,Clothing and clothing access. stores,"15,764","17,980","20,752","20,389","22,145","19,667","20,564","22,314","19,151","20,637","23,090","33,345"
4481,Clothing stores,"11,612","12,590","15,502","15,124","16,179","14,595","15,249","16,205","14,318","15,564","17,420","22,791"
44811,Men's clothing stores,581,633,699,767,799,716,661,713,691,744,752,"1,054"
44812,Women's clothing stores,"2,512","2,762","3,545","3,458","3,746","3,231","3,181","3,383","3,164","3,454","3,719","4,910"
44814,Family clothing stores,"6,025","6,523","8,149","8,037","8,640","7,848","8,497","8,807","7,758","8,592","9,853","12,634"
44819,Other clothing stores,"1,260","1,273","1,439","1,329","1,344","1,387","1,339","1,500","1,267","1,298","1,404","1,924"
4482,Shoe stores,"2,058","2,591","2,933","2,750","2,882","2,538","2,878","3,658","2,602","2,705","2,871","4,047"
44831,Jewelry stores,"1,891","2,618","2,133","2,298","2,851","2,347","2,226","2,255","2,038","2,166","2,584","6,054"
451,"Sporting goods, hobby, musical instrument, and book stores","6,234","5,413","6,519","6,237","6,642","6,739","6,809","7,937","6,900","6,480","7,653","12,138"
45111,Sporting goods stores,"2,839","2,831","3,690","3,573","3,829","4,098","4,102","4,331","3,649","3,422","3,828","6,134"
45112,"Hobby, toy, and game stores","1,126","1,155","1,318","1,219","1,230","1,151","1,187","1,193","1,278","1,427","2,162","3,563"
451211,Book stores,"1,485",687,657,654,752,685,695,"1,550","1,066",720,726,"1,321"
452,General merchandise stores,"49,498","49,136","54,736","52,497","57,545","54,247","54,956","56,822","51,759","55,762","61,667","76,264"
4521,Department stores,"10,772","11,204","13,144","12,320","13,661","12,534","12,528","13,628","12,014","12,933","16,313","22,980"
452111,Department stores(excl. discount department stores),"3,502","3,945","4,545","4,576","5,018","4,304","4,165","4,469","4,306","4,538","6,146","9,425"
452112,Discount dept. stores,"7,270","7,259","8,599","7,744","8,643","8,230","8,363","9,159","7,708","8,395","10,167","13,555"
4529,Other general merchandise stores,"38,726",37932,41592,"40,177","43,884","41,713","42,428","43,194","39,745","42,829","45,354","53,284"
45291,Warehouse clubs and superstores,"33,902","32,882","35,953","34,707","37,942","36,061","36,776","37,618","34,294","36,929","39,212","45,465"
45299,All other gen. merchandise stores,"4,824","5,050","5,639","5,470","5,942","5,652","5,652","5,576","5,451","5,900","6,142","7,819"
453,Miscellaneous store retailers,"8,634","8,503","9,349","9,446","10,939","10,457","10,443","10,485","9,783","10,356","9,733","11,222"
4532,"Office supplies, stationery, and gift stores","2,441","2,288","2,354","2,404","2,494","2,380","2,587","2,962","2,638","3,043","2,435","3,512"
45321,Office supplies and stationery stores,"1,432","1,221","1,194","1,163","1,103","1,056","1,160","1,586","1,314","1,148","1,073","1,285"
45322,"Gift, novelty, and souvenir stores","1,009","1,067","1,160","1,241","1,391","1,324","1,427","1,376","1,324","1,895","1,362","2,227"
45330,Used merchandise stores,"1,240","1,182","1,413","1,362","1,418","1,381","1,511","1,561","1,478","1,613","1,401","1,432"
454,Nonstore retailers,"39,553","37,954","41,746","39,907","38,835","39,452","40,116","39,400","40,345","41,955","47,721","62,668"
4541,Electronic shopping and mail-order houses,"31,761","29,988","34,159","33,618","33,305","33,856","34,624","34,245","34,829","35,856","41,774","55,972"
45431,Fuel dealers,"4,493","4,698","3,776","2,279","1,660","1,527","1,509","1,440","1,609","2,078","2,145","2,538"
722,Food services and drinking places,"47,960","46,604","53,122","52,285","55,409","52,042","53,140","53,176","50,762","54,048","50,283","54,663"
7224,Drinking places,"1,768","1,707","1,975","1,845","1,995","1,846","1,942","1,943","1,832","1,968","1,851","1,970"
7225,Restaurants and other eating places,"42,099","40,635","46,657","45,455","48,477","45,867","46,849","46,697","43,500","46,417","43,697","48,011"
722511,Full service restaurants,"21,846","21,053","23,829","22,641","24,432","22,607","22,959","23,050","21,322","23,059","21,733","24,583"
"722513, 722514, 722515",Limited service eating places,"20,253","19,582","22,828","22,814","24,045","23,260","23,890","23,647","22,178","23,358","21,964","23,428"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
