NAICS  Code,Kind of Business,Jan. 2001,Feb. 2001,Mar. 2001,Apr. 2001,May-01,Jun. 2001,Jul. 2001,Aug. 2001,Sep. 2001,Oct. 2001,Nov. 2001,Dec. 2001
,"Retail and food services sales, total","250,746","247,772","280,449","274,925","296,013","287,881","279,098","294,763","261,924","291,596","287,537","326,202"
,Retail sales and food services excl motor vehicle and parts,"191,485","186,254","209,049","207,647","221,671","215,142","210,053","221,436","200,982","212,062","222,341","265,205"
,Retail sales and food services excl gasoline stations,"230,657","228,837","259,652","253,264","272,163","264,637","257,026","272,110","240,545","271,162","269,100","308,370"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"171,396","167,319","188,252","185,986","197,821","191,898","187,981","198,783","179,603","191,628","203,904","247,373"
,"Retail sales, total","226,791","223,971","253,439","249,062","268,658","260,315","251,504","266,460","236,210","265,188","262,004","298,666"
,"Retail sales, total (excl. motor vehicle and parts dealers)","167,530","162,453","182,039","181,784","194,316","187,576","182,459","193,133","175,268","185,654","196,808","237,669"
,GAFO(1),"60,886","60,888","68,273","67,528","71,133","69,654","67,991","75,761","66,261","70,307","84,413","119,605"
441,Motor vehicle and parts dealers,"59,261","61,518","71,400","67,278","74,342","72,739","69,045","73,327","60,942","79,534","65,196","60,997"
"4411, 4412",Automobile and other motor vehicle dealers,"54,751","57,070","66,213","62,174","68,857","67,292","63,657","67,607","56,032","74,222","60,256","56,356"
4411,Automobile dealers,"51,954","54,168","62,034","57,327","63,534","62,193","58,994","63,267","52,943","70,850","57,131","53,281"
44111,New car dealers,"47,306","49,251","56,675","52,336","58,144","57,024","54,088","58,125","48,652","65,947","52,687","49,178"
44112,Used car dealers,"4,648","4,917","5,359","4,991","5,390","5,169","4,906","5,142","4,291","4,903","4,444","4,103"
4413,"Automotive parts, acc., and tire stores","4,510","4,448","5,187","5,104","5,485","5,447","5,388","5,720","4,910","5,312","4,940","4,641"
"442, 443","Furniture, home furn, electronics, and appliance stores","14,072","13,376","14,556","13,077","14,087","14,273","14,214","15,247","13,548","14,290","16,938","22,299"
442,Furniture and home furnishings stores,"7,050","6,797","7,572","6,940","7,551","7,491","7,456","7,971","7,078","7,603","8,548","9,427"
4421,Furniture stores,"4,052","3,930","4,350","3,886","4,148","4,223","4,145","4,332","3,950","4,131","4,633","4,792"
4422,Home furnishings stores,"2,998","2,867","3,222","3,054","3,403","3,268","3,311","3,639","3,128","3,472","3,915","4,635"
44221,Floor covering stores,"1,435","1,428","1,641","1,587","1,698","1,634","1,621","1,714","1,575","1,699","1,620","1,556"
442299,All other home furnishings stores,"1,473","1,361","1,490","1,388","1,617","1,545","1,593","1,820","1,462","1,667","2,173","2,958"
443,Electronics and appliance stores,"7,022","6,579","6,984","6,137","6,536","6,782","6,758","7,276","6,470","6,687","8,390","12,872"
443141,Household appliance stores,996,938,"1,043",999,"1,079","1,166","1,142","1,226","1,047","1,164","1,249","1,430"
443142,Electronics stores,"6,026","5,641","5,941","5,138","5,457","5,616","5,616","6,050","5,423","5,523","7,141","11,442"
444,Building mat. and garden equip. and supplies dealers,"15,734","15,638","18,978","22,735","25,115","22,931","21,200","21,084","18,749","20,965","19,029","17,221"
4441,Building mat. and supplies dealers,"13,744","13,643","16,488","18,241","20,031","19,188","18,559","19,031","16,828","18,712","17,111","15,444"
44412,Paint and wallpaper stores,576,571,693,739,814,829,830,863,684,791,662,537
44413,Hardware stores,"1,089","1,060","1,287","1,437","1,655","1,570","1,456","1,433","1,324","1,382","1,394","1,452"
445,Food and beverage stores,"36,332","34,585","38,321","37,122","39,793","39,006","39,182","39,683","37,821","38,375","39,151","43,058"
4451,Grocery stores,"33,236","31,488","34,856","33,685","36,068","35,215","35,418","35,919","34,379","34,847","35,308","37,708"
44511,Supermarkets and other grocery (except convenience) stores,"31,657","29,913","33,084","31,911","34,154","33,317","33,437","33,920","32,574","33,026","33,571","35,974"
4453,"Beer, wine, and liquor stores","2,109","2,052","2,327","2,231","2,470","2,526","2,483","2,518","2,316","2,409","2,638","3,542"
446,Health and personal care stores,"13,319","12,862","13,991","13,466","14,226","13,663","13,518","14,046","12,963","14,312","13,994","16,173"
44611,Pharmacies and drug stores,"11,414","10,958","11,814","11,430","12,064","11,597","11,515","11,919","11,132","12,335","11,967","13,627"
447,Gasoline stations,"20,089","18,935","20,797","21,661","23,850","23,244","22,072","22,653","21,379","20,434","18,437","17,832"
448,Clothing and clothing access. stores,"10,060","11,450","13,067","13,362","13,787","12,935","12,600","14,818","12,104","13,218","15,352","24,534"
4481,Clothing stores,"7,211","7,820","9,492","9,676","9,674","9,292","9,055","10,567","8,910","9,815","11,212","16,484"
44811,Men's clothing stores,620,588,681,675,710,702,626,743,610,704,793,"1,173"
44812,Women's clothing stores,"1,946","2,154","2,671","2,801","2,747","2,507","2,311","2,661","2,394","2,615","2,786","3,860"
44814,Family clothing stores,"3,444","3,748","4,575","4,750","4,768","4,651","4,663","5,384","4,462","4,918","5,942","8,845"
44819,Other clothing stores,610,607,704,636,701,719,669,751,615,722,786,"1,368"
4482,Shoe stores,"1,406","1,537","1,867","2,035","2,007","1,890","1,898","2,448","1,708","1,718","1,870","2,500"
44831,Jewelry stores,"1,322","1,960","1,569","1,534","1,977","1,617","1,519","1,667","1,383","1,575","2,137","5,301"
451,"Sporting goods, hobby, musical instrument, and book stores","4,971","4,486","5,208","4,843","5,145","5,323","5,076","6,162","5,332","5,154","6,697","10,186"
45111,Sporting goods stores,"1,739","1,704","2,111","2,071","2,185","2,352","2,199","2,382","1,984","1,882","2,151","3,398"
45112,"Hobby, toy, and game stores",880,971,"1,176","1,063","1,038","1,107","1,094","1,065","1,050","1,303","2,445","3,628"
451211,Book stores,"1,585","1,070","1,062",934,"1,070","1,077","1,005","1,820","1,406","1,015","1,098","1,956"
452,General merchandise stores,"28,627","28,502","32,261","33,370","34,991","34,201","33,188","35,971","32,360","34,581","42,010","57,406"
4521,Department stores,"15,153","15,220","17,229","17,969","18,535","17,841","17,025","19,083","16,676","17,800","22,954","32,892"
452111,Department stores(excl. discount department stores),"5,834","6,206","6,884","7,089","7,256","6,732","6,252","7,497","6,489","6,922","9,240","14,381"
452112,Discount dept. stores,"9,319","9,014","10,345","10,880","11,279","11,109","10,773","11,586","10,187","10,878","13,714","18,511"
4529,Other general merchandise stores,"13,474",13282,15032,"15,401","16,456","16,360","16,163","16,888","15,684","16,781","19,056","24,514"
45291,Warehouse clubs and superstores,"11,198","10,919","12,387","12,616","13,487","13,619","13,438","14,086","13,173","14,042","15,760","19,991"
45299,All other gen. merchandise stores,"2,276","2,363","2,645","2,785","2,969","2,741","2,725","2,802","2,511","2,739","3,296","4,523"
453,Miscellaneous store retailers,"7,687","7,996","8,620","7,889","9,130","8,614","8,355","9,024","7,862","8,551","8,710","10,649"
4532,"Office supplies, stationery, and gift stores","3,156","3,074","3,181","2,876","3,123","2,922","2,913","3,563","2,917","3,064","3,416","5,180"
45321,Office supplies and stationery stores,"2,013","1,781","1,839","1,503","1,586","1,487","1,520","2,090","1,697","1,648","1,658","2,063"
45322,"Gift, novelty, and souvenir stores","1,143","1,293","1,342","1,373","1,537","1,435","1,393","1,473","1,220","1,416","1,758","3,117"
45330,Used merchandise stores,708,784,856,759,796,745,785,782,803,799,809,901
454,Nonstore retailers,"16,639","14,623","16,240","14,259","14,192","13,386","13,054","14,445","13,150","15,774","16,490","18,311"
4541,Electronic shopping and mail-order houses,"9,343","8,333","9,710","8,898","9,214","8,908","8,727","9,551","8,420","10,118","10,903","12,624"
45431,Fuel dealers,"4,094","3,106","2,802","2,001","1,657","1,460","1,388","1,615","1,703","1,996","2,000","2,271"
722,Food services and drinking places,"23,955","23,801","27,010","25,863","27,355","27,566","27,594","28,303","25,714","26,408","25,533","27,536"
7224,Drinking places,"1,197","1,181","1,367","1,234","1,254","1,287","1,314","1,395","1,337","1,363","1,352","1,403"
7225,Restaurants and other eating places,"20,613","20,547","23,239","22,217","23,460","23,725","24,019","24,531","21,899","22,504","21,946","23,934"
722511,Full service restaurants,"10,680","10,646","11,869","11,265","11,952","12,141","12,321","12,742","11,242","11,471","11,206","12,535"
"722513, 722514, 722515",Limited service eating places,"9,933","9,901","11,370","10,952","11,508","11,584","11,698","11,789","10,657","11,033","10,740","11,399"
