NAICS  Code,Kind of Business,Jan. 2004,Feb. 2004,Mar. 2004,Apr. 2004,May 2004,Jun. 2004,Jul. 2004,Aug. 2004,Sep. 2004,Oct. 2004,Nov. 2004,Dec. 2004
,"Retail and food services sales, total","281,460","282,444","319,077","315,191","328,408","321,044","328,000","326,317","313,524","319,726","324,259","387,155"
,Retail sales and food services excl motor vehicle and parts,"220,314","217,214","240,415","241,939","250,917","245,689","249,163","249,940","239,944","250,981","259,038","314,679"
,Retail sales and food services excl gasoline stations,"258,687","259,890","293,475","288,984","299,830","292,641","298,714","297,588","286,173","290,182","296,583","359,852"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"197,541","194,660","214,813","215,732","222,339","217,286","219,877","221,211","212,593","221,437","231,362","287,376"
,"Retail sales, total","252,818","253,689","287,944","284,325","296,253","289,664","294,875","294,133","282,974","287,468","294,278","354,627"
,"Retail sales, total (excl. motor vehicle and parts dealers)","191,672","188,459","209,282","211,073","218,762","214,309","216,038","217,756","209,394","218,723","229,057","282,151"
,GAFO(1),"70,448","72,295","77,591","77,093","80,595","77,927","79,732","83,081","76,941","81,807","92,634","133,747"
441,Motor vehicle and parts dealers,"61,146","65,230","78,662","73,252","77,491","75,355","78,837","76,377","73,580","68,745","65,221","72,476"
"4411, 4412",Automobile and other motor vehicle dealers,"56,235","60,208","72,817","67,574","71,922","69,485","72,936","70,514","68,038","63,129","59,803","66,928"
4411,Automobile dealers,"52,917","56,122","66,693","61,142","65,214","62,812","66,631","65,194","63,519","58,913","56,199","62,718"
44111,New car dealers,"47,864","50,584","60,638","55,578","59,332","57,264","60,858","59,246","57,973","53,128","50,718","57,370"
44112,Used car dealers,"5,053","5,538","6,055","5,564","5,882","5,548","5,773","5,948","5,546","5,785","5,481","5,348"
4413,"Automotive parts, acc., and tire stores","4,911","5,022","5,845","5,678","5,569","5,870","5,901","5,863","5,542","5,616","5,418","5,548"
"442, 443","Furniture, home furn, electronics, and appliance stores","15,277","15,022","16,161","15,050","15,595","16,192","16,723","17,093","16,164","16,431","19,031","25,031"
442,Furniture and home furnishings stores,"7,651","7,613","8,499","7,991","8,112","8,443","8,895","8,883","8,441","8,718","9,594","10,917"
4421,Furniture stores,"4,365","4,335","4,638","4,307","4,458","4,573","4,846","4,786","4,525","4,683","5,012","5,321"
4422,Home furnishings stores,"3,286","3,278","3,861","3,684","3,654","3,870","4,049","4,097","3,916","4,035","4,582","5,596"
44221,Floor covering stores,"1,439","1,523","1,814","1,749","1,646","1,785","1,825","1,832","1,851","1,860","1,828","1,755"
442299,All other home furnishings stores,"1,747","1,657","1,931","1,820","1,893","1,960","2,105","2,149","1,956","2,051","2,623","3,687"
443,Electronics and appliance stores,"7,626","7,409","7,662","7,059","7,483","7,749","7,828","8,210","7,723","7,713","9,437","14,114"
443141,Household appliance stores,"1,158","1,147","1,277","1,203","1,290","1,341","1,312","1,299","1,250","1,278","1,412","1,641"
443142,Electronics stores,"6,468","6,262","6,385","5,856","6,193","6,408","6,516","6,911","6,473","6,435","8,025","12,473"
444,Building mat. and garden equip. and supplies dealers,"18,081","17,862","24,942","28,261","28,431","28,623","26,162","25,578","25,136","24,833","24,035","23,330"
4441,Building mat. and supplies dealers,"16,526","16,258","21,879","23,351","23,595","24,738","23,341","23,253","22,852","22,415","21,872","21,120"
44412,Paint and wallpaper stores,569,582,757,780,807,865,837,829,758,755,695,646
44413,Hardware stores,"1,197","1,138","1,421","1,636","1,801","1,736","1,689","1,571","1,535","1,496","1,489","1,591"
445,Food and beverage stores,"39,978","37,184","39,604","39,857","41,918","40,447","42,512","40,617","40,270","41,050","41,018","45,925"
4451,Grocery stores,"36,475","33,701","35,892","35,876","37,733","36,362","38,170","36,607","36,360","37,004","36,876","40,080"
44511,Supermarkets and other grocery (except convenience) stores,"34,761","32,066","34,081","34,064","35,785","34,405","36,142","34,629","34,442","35,064","35,117","38,249"
4453,"Beer, wine, and liquor stores","2,293","2,219","2,398","2,553","2,685","2,643","2,867","2,622","2,618","2,727","2,763","3,801"
446,Health and personal care stores,"16,336","15,649","17,170","16,542","16,528","16,388","16,306","16,377","15,986","16,421","16,460","19,127"
44611,Pharmacies and drug stores,"14,065","13,341","14,506","14,034","14,025","13,877","13,747","13,783","13,632","14,055","14,017","16,149"
447,Gasoline stations,"22,773","22,554","25,602","26,207","28,578","28,403","29,286","28,729","27,351","29,544","27,676","27,303"
448,Clothing and clothing access. stores,"11,790","13,344","14,760","15,058","15,379","14,237","14,667","15,588","14,224","15,570","17,230","28,406"
4481,Clothing stores,"8,682","9,133","10,893","10,974","10,998","10,396","10,796","11,380","10,579","11,695","12,823","18,940"
44811,Men's clothing stores,574,559,637,674,675,657,639,720,634,727,809,"1,261"
44812,Women's clothing stores,"2,267","2,402","2,915","3,023","3,005","2,777","2,595","2,644","2,774","2,990","3,090","4,472"
44814,Family clothing stores,"4,271","4,594","5,614","5,612","5,679","5,325","5,840","6,126","5,494","6,230","7,116","10,543"
44819,Other clothing stores,762,737,780,742,777,824,790,870,761,787,817,"1,336"
4482,Shoe stores,"1,526","1,737","1,977","2,127","2,007","1,824","1,950","2,280","1,796","1,902","1,870","2,689"
44831,Jewelry stores,"1,463","2,346","1,766","1,829","2,230","1,887","1,792","1,800","1,732","1,852","2,409","6,517"
451,"Sporting goods, hobby, musical instrument, and book stores","5,856","4,874","5,406","5,169","5,297","5,602","5,677","6,706","5,757","5,418","6,637","10,768"
45111,Sporting goods stores,"1,901","1,888","2,287","2,221","2,305","2,514","2,530","2,621","2,216","2,103","2,306","3,748"
45112,"Hobby, toy, and game stores",962,"1,045","1,125","1,082",974,"1,024","1,086","1,016","1,051","1,311","2,187","3,451"
451211,Book stores,"2,146","1,108","1,073","1,023","1,113","1,207","1,172","2,120","1,561","1,069","1,089","2,200"
452,General merchandise stores,"34,374","35,920","38,278","38,899","41,341","38,949","39,651","40,239","37,587","41,192","46,366","64,586"
4521,Department stores,"14,053","15,157","16,440","16,697","17,467","16,282","16,454","17,203","15,985","17,446","20,724","31,783"
452111,Department stores(excl. discount department stores),"5,120","5,893","6,406","6,369","6,694","6,188","6,049","6,512","6,335","6,643","8,280","13,977"
452112,Discount dept. stores,"8,933","9,264","10,034","10,328","10,773","10,094","10,405","10,691","9,650","10,803","12,444","17,806"
4529,Other general merchandise stores,"20,321",20763,21838,"22,202","23,874","22,667","23,197","23,036","21,602","23,746","25,642","32,803"
45291,Warehouse clubs and superstores,"17,664","17,884","18,664","19,000","20,590","19,567","20,099","20,016","18,671","20,533","21,999","27,643"
45299,All other gen. merchandise stores,"2,657","2,879","3,174","3,202","3,284","3,100","3,098","3,020","2,931","3,213","3,643","5,160"
453,Miscellaneous store retailers,"8,001","7,805","8,164","8,281","9,099","8,495","8,407","8,750","8,392","8,592","9,005","11,186"
4532,"Office supplies, stationery, and gift stores","3,151","3,135","2,986","2,917","2,983","2,947","3,014","3,455","3,209","3,196","3,370","4,956"
45321,Office supplies and stationery stores,"2,066","1,829","1,823","1,615","1,593","1,572","1,592","2,079","1,934","1,673","1,709","2,200"
45322,"Gift, novelty, and souvenir stores","1,085","1,306","1,163","1,302","1,390","1,375","1,422","1,376","1,275","1,523","1,661","2,756"
45330,Used merchandise stores,734,704,753,702,752,753,778,748,797,832,838,880
454,Nonstore retailers,"19,206","18,245","19,195","17,749","16,596","16,973","16,647","18,079","18,527","19,672","21,599","26,489"
4541,Electronic shopping and mail-order houses,"11,989","11,260","12,621","12,030","11,706","11,840","11,655","12,540","12,412","13,030","14,604","18,470"
