NAICS  Code,Kind of Business,Jan. 2005,Feb. 2005,Mar. 2005,Apr. 2005,May 2005,Jun. 2005,Jul. 2005,Aug. 2005,Sep. 2005,Oct. 2005,Nov. 2005,Dec. 2005
,"Retail and food services sales, total","293,261","295,062","339,141","335,632","345,348","350,945","351,827","355,701","333,289","336,134","343,798","405,608"
,Retail sales and food services excl motor vehicle and parts,"231,325","228,117","258,532","257,963","267,021","265,567","264,117","274,481","263,877","272,540","278,953","334,946"
,Retail sales and food services excl gasoline stations,"267,695","270,080","309,761","305,083","314,197","319,083","317,939","319,497","297,029","299,577","312,538","374,344"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"205,759","203,135","229,152","227,414","235,870","233,705","230,229","238,277","227,617","235,983","247,693","303,682"
,"Retail sales, total","263,469","265,320","306,384","302,054","311,292","317,375","316,887","321,409","300,439","302,213","311,715","370,726"
,"Retail sales, total (excl. motor vehicle and parts dealers)","201,533","198,375","225,775","224,385","232,965","231,997","229,177","240,189","231,027","238,619","246,870","300,064"
,GAFO(1),"72,963","74,808","82,664","81,063","84,175","84,379","83,562","88,789","81,830","86,755","98,658","139,953"
441,Motor vehicle and parts dealers,"61,936","66,945","80,609","77,669","78,327","85,378","87,710","81,220","69,412","63,594","64,845","70,662"
"4411, 4412",Automobile and other motor vehicle dealers,"56,755","61,698","74,577","71,728","72,464","79,125","81,735","74,885","63,626","57,772","58,992","64,885"
4411,Automobile dealers,"53,509","57,407","68,039","64,571","65,429","71,603","75,311","68,925","58,825","53,555","55,055","60,842"
44111,New car dealers,"47,706","50,927","61,437","58,535","59,474","65,585","69,231","62,506","53,141","47,958","49,730","55,717"
44112,Used car dealers,"5,803","6,480","6,602","6,036","5,955","6,018","6,080","6,419","5,684","5,597","5,325","5,125"
4413,"Automotive parts, acc., and tire stores","5,181","5,247","6,032","5,941","5,863","6,253","5,975","6,335","5,786","5,822","5,853","5,777"
"442, 443","Furniture, home furn, electronics, and appliance stores","15,873","15,870","17,097","15,994","16,599","17,185","17,168","18,395","17,428","17,325","20,237","26,071"
442,Furniture and home furnishings stores,"7,908","7,973","8,787","8,418","8,649","8,966","8,957","9,607","9,216","9,110","10,232","11,297"
4421,Furniture stores,"4,444","4,570","4,852","4,610","4,648","4,816","4,875","5,180","5,043","4,922","5,312","5,473"
4422,Home furnishings stores,"3,464","3,403","3,935","3,808","4,001","4,150","4,082","4,427","4,173","4,188","4,920","5,824"
44221,Floor covering stores,"1,545","1,564","1,797","1,770","1,873","1,939","1,847","2,030","2,004","1,898","1,957","1,901"
442299,All other home furnishings stores,"1,804","1,728","2,005","1,907","1,991","2,070","2,095","2,252","2,028","2,141","2,798","3,760"
443,Electronics and appliance stores,"7,965","7,897","8,310","7,576","7,950","8,219","8,211","8,788","8,212","8,215","10,005","14,774"
443141,Household appliance stores,"1,217","1,222","1,329","1,334","1,358","1,470","1,395","1,430","1,369","1,411","1,523","1,734"
443142,Electronics stores,"6,748","6,675","6,981","6,242","6,592","6,749","6,816","7,358","6,843","6,804","8,482","13,040"
