NAICS  Code,Kind of Business,Jan. 2014,Feb. 2014,Mar. 2014,Apr. 2014,May 2014,Jun. 2014,Jul. 2014,Aug. 2014,Sep. 2014,Oct. 2014,Nov. 2014,Dec. 2014
,"Retail and food services sales, total","383,054","380,019","432,651","431,396","459,231","433,282","443,281","451,366","421,424","438,457","439,165","502,330"
,Retail sales and food services excl motor vehicle and parts,"312,672","305,065","342,163","343,437","365,992","346,567","352,006","358,742","338,059","354,123","360,197","415,782"
,Retail sales and food services excl gasoline stations,"340,914","339,850","386,848","384,655","409,255","385,268","394,138","402,694","375,938","393,020","398,952","465,334"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"270,532","264,896","296,360","296,696","316,016","298,553","302,863","310,070","292,573","308,686","319,984","378,786"
,"Retail sales, total","340,122","337,129","383,241","383,688","408,177","385,387","394,591","401,280","374,354","388,322","391,551","451,598"
,"Retail sales, total (excl. motor vehicle and parts dealers)","269,740","262,175","292,753","295,729","314,938","298,672","303,316","308,656","290,989","303,988","312,583","365,050"
,GAFO(1),"86,136","89,362","99,159","96,887","103,685","97,343","99,162","107,436","95,521","101,257","115,473","147,273"
441,Motor vehicle and parts dealers,"70,382","74,954","90,488","87,959","93,239","86,715","91,275","92,624","83,365","84,334","78,968","86,548"
"4411, 4412",Automobile and other motor vehicle dealers,"63,806","68,319","83,086","80,609","85,837","79,495","83,807","85,242","76,277","76,801","71,921","79,897"
4411,Automobile dealers,"60,619","64,321","77,611","74,532","79,046","73,171","77,651","79,978","71,340","72,434","68,604","76,259"
44111,New car dealers,"54,554","56,299","69,047","66,931","71,351","65,629","69,994","72,042","63,756","64,501","61,782","69,256"
44112,Used car dealers,"6,065","8,022","8,564","7,601","7,695","7,542","7,657","7,936","7,584","7,933","6,822","7,003"
4413,"Automotive parts, acc., and tire stores","6,576","6,635","7,402","7,350","7,402","7,220","7,468","7,382","7,088","7,533","7,047","6,651"
"442, 443","Furniture, home furn, electronics, and appliance stores","15,225","15,236","16,428","15,139","16,208","15,631","16,459","17,097","16,745","16,702","19,915","24,130"
442,Furniture and home furnishings stores,"7,201","7,227","8,104","7,791","8,384","7,881","8,403","8,734","8,371","8,441","8,950","10,231"
4421,Furniture stores,"3,904","4,069","4,586","4,154","4,602","4,181","4,433","4,698","4,589","4,483","4,741","4,836"
4422,Home furnishings stores,"3,297","3,158","3,518","3,637","3,782","3,700","3,970","4,036","3,782","3,958","4,209","5,395"
44221,Floor covering stores,"1,260","1,226","1,386","1,504","1,519","1,560","1,570","1,623","1,547","1,648","1,429","1,431"
442299,All other home furnishings stores,"1,930","1,824","2,007","1,997","2,136","2,012","2,266","2,277","2,106","2,184","2,656","3,853"
443,Electronics and appliance stores,"8,024","8,009","8,324","7,348","7,824","7,750","8,056","8,363","8,374","8,261","10,965","13,899"
443141,Household appliance stores,"1,254","1,267","1,396","1,285","1,435","1,434","1,465","1,452","1,436","1,449","1,593","1,623"
443142,Electronics stores,"6,770","6,742","6,928","6,063","6,389","6,316","6,591","6,911","6,938","6,812","9,372","12,276"
444,Building mat. and garden equip. and supplies dealers,"19,922","19,028","24,404","30,530","33,864","30,500","29,070","26,861","26,628","27,795","25,257","24,493"
4441,Building mat. and supplies dealers,"17,720","16,875","20,788","24,652","27,382","25,694","25,651","23,928","23,808","24,455","22,034","21,129"
44412,Paint and wallpaper stores,630,623,801,901,968,979,"1,049",988,970,954,731,706
44413,Hardware stores,"1,637","1,544","1,832","1,933","2,146","1,987","1,963","1,903","1,861","2,023","1,879","1,889"
445,Food and beverage stores,"54,048","49,913","54,313","54,180","57,764","55,247","57,377","57,269","54,264","56,800","56,852","61,138"
4451,Grocery stores,"49,165","45,122","49,033","48,727","51,776","49,458","51,374","51,298","48,826","50,995","50,946","52,883"
44511,Supermarkets and other grocery (except convenience) stores,"47,312","43,267","46,954","46,594","49,457","47,170","48,962","48,868","46,602","48,809","48,890","50,905"
4453,"Beer, wine, and liquor stores","3,381","3,310","3,652","3,702","4,165","4,036","4,242","4,219","3,814","4,090","4,103","5,572"
446,Health and personal care stores,"24,171","22,781","24,633","24,430","25,168","24,424","24,815","24,850","24,816","25,719","24,286","29,170"
