NAICS  Code,Kind of Business,Jan. 1999,Feb. 1999,Mar. 1999,Apr. 1999,May-99,Jun. 1999,Jul. 1999,Aug. 1999,Sep. 1999,Oct. 1999,Nov. 1999,Dec. 1999
,"Retail and food services sales, total","218,126","220,650","253,550","250,783","262,113","260,918","262,051","265,089","253,905","258,040","264,106","317,659"
,Retail sales and food services excl motor vehicle and parts,"165,591","163,598","185,818","185,914","194,291","191,552","193,716","195,625","189,333","195,657","204,250","257,441"
,Retail sales and food services excl gasoline stations,"203,011","206,380","237,252","233,582","244,205","242,995","242,931","245,811","235,346","239,073","245,874","298,006"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"150,476","149,328","169,520","168,713","176,383","173,629","174,596","176,347","170,774","176,690","186,018","237,788"
,"Retail sales, total","196,810","199,451","230,230","227,109","237,462","236,830","236,992","240,478","230,665","233,193","240,857","293,013"
,"Retail sales, total (excl. motor vehicle and parts dealers)","144,275","142,399","162,498","162,240","169,640","167,464","168,657","171,014","166,093","170,810","181,001","232,795"
,GAFO(1),"54,153","54,729","62,946","61,662","65,302","64,293","64,020","67,768","64,037","66,533","76,342","113,880"
441,Motor vehicle and parts dealers,"52,535","57,052","67,732","64,869","67,822","69,366","68,335","69,464","64,572","62,383","59,856","60,218"
"4411, 4412",Automobile and other motor vehicle dealers,"48,047","52,525","62,492","59,528","62,574","63,824","62,813","63,954","59,134","56,986","54,569","55,109"
4411,Automobile dealers,"46,157","49,827","58,761","55,504","58,227","59,612","58,918","60,447","56,079","53,895","51,987","52,406"
44111,New car dealers,"42,042","45,230","53,840","50,680","53,277","54,565","54,023","55,555","51,570","49,379","47,695","48,311"
44112,Used car dealers,"4,115","4,597","4,921","4,824","4,950","5,047","4,895","4,892","4,509","4,516","4,292","4,095"
4413,"Automotive parts, acc., and tire stores","4,488","4,527","5,240","5,341","5,248","5,542","5,522","5,510","5,438","5,397","5,287","5,109"
"442, 443","Furniture, home furn, electronics, and appliance stores","12,558","12,261","13,614","12,784","13,256","13,658","14,014","14,375","14,008","14,117","15,878","21,134"
442,Furniture and home furnishings stores,"5,922","5,996","6,790","6,481","6,684","6,853","6,961","7,240","7,139","7,339","8,006","8,883"
4421,Furniture stores,"3,590","3,552","3,941","3,607","3,796","3,818","3,893","3,962","3,976","4,036","4,303","4,548"
4422,Home furnishings stores,"2,332","2,444","2,849","2,874","2,888","3,035","3,068","3,278","3,163","3,303","3,703","4,335"
44221,Floor covering stores,"1,182","1,288","1,534","1,592","1,463","1,599","1,594","1,657","1,649","1,674","1,642","1,535"
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443,Electronics and appliance stores,"6,636","6,265","6,824","6,303","6,572","6,805","7,053","7,135","6,869","6,778","7,872","12,251"
443141,Household appliance stores,842,814,943,926,950,"1,105","1,200","1,019",989,997,"1,051","1,246"
443142,Electronics stores,"5,794","5,451","5,881","5,377","5,622","5,700","5,853","6,116","5,880","5,781","6,821","11,005"
444,Building mat. and garden equip. and supplies dealers,"13,949","14,508","17,711","19,541","20,560","20,511","19,363","19,000","18,459","18,709","18,190","17,789"
4441,Building mat. and supplies dealers,"12,020","12,508","15,156","16,239","16,717","17,403","16,977","16,878","16,299","16,470","16,032","15,217"
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413,Hardware stores,"1,100","1,003","1,206","1,411","1,492","1,444","1,386","1,297","1,283","1,293","1,291","1,380"
445,Food and beverage stores,"34,300","32,175","35,502","35,121","37,055","35,791","37,981","36,105","35,734","36,164","35,833","41,938"
4451,Grocery stores,"31,516","29,413","32,451","31,948","33,727","32,568","34,568","32,944","32,624","32,935","32,510","37,046"
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4453,"Beer, wine, and liquor stores","1,866","1,808","1,986","2,099","2,210","2,145","2,339","2,140","2,126","2,219","2,273","3,265"
446,Health and personal care stores,"11,015","10,820","11,954","11,596","11,823","11,766","11,679","11,647","11,429","11,839","12,013","15,118"
44611,Pharmacies and drug stores,"9,406","9,246","10,168","9,881","10,054","9,972","9,874","9,834","9,721","10,087","10,155","12,884"
447,Gasoline stations,"15,115","14,270","16,298","17,201","17,908","17,923","19,120","19,278","18,559","18,967","18,232","19,653"
448,Clothing and clothing access. stores,"9,237","10,171","12,081","12,386","13,167","12,280","12,461","13,734","12,357","12,948","14,643","24,286"
4481,Clothing stores,"6,559","6,871","8,673","8,903","9,171","8,624","8,817","9,712","8,917","9,427","10,528","15,479"
44811,Men's clothing stores,684,610,708,812,803,791,723,789,714,802,896,"1,335"
44812,Women's clothing stores,"1,745","1,883","2,507","2,616","2,687","2,405","2,303","2,407","2,353","2,440","2,564","3,639"
44814,Family clothing stores,"3,062","3,253","4,101","4,152","4,375","4,182","4,476","4,926","4,389","4,724","5,528","8,150"
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4482,Shoe stores,"1,420","1,543","1,897","1,913","2,006","1,908","1,934","2,283","1,788","1,741","1,782","2,475"
44831,Jewelry stores,"1,155","1,650","1,392","1,457","1,863","1,623","1,585","1,606","1,520","1,641","2,165","6,034"
451,"Sporting goods, hobby, musical instrument, and book stores","4,661","4,133","4,804","4,654","4,779","5,088","4,884","5,396","5,062","4,852","5,896","9,863"
