NAICS  Code,Kind of Business,Jan. 2008,Feb. 2008,Mar. 2008,Apr. 2008,May 2008,Jun. 2008,Jul. 2008,Aug. 2008,Sep. 2008,Oct. 2008,Nov. 2008,Dec. 2008
,"Retail and food services sales, total","342,639","343,893","372,907","368,920","397,956","378,507","383,726","382,862","350,542","349,847","335,545","384,236"
,Retail sales and food services excl motor vehicle and parts,"276,796","274,863","296,293","295,184","321,829","309,079","314,049","313,186","290,053","294,821","287,679","331,883"
,Retail sales and food services excl gasoline stations,"303,949","306,277","330,681","325,257","349,444","328,422","331,998","333,794","305,360","309,222","305,676","357,861"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"238,106","237,247","254,067","251,521","273,317","258,994","262,321","264,118","244,871","254,196","257,810","305,508"
,"Retail sales, total","307,576","308,171","334,416","331,002","357,277","339,791","344,158","342,443","313,308","311,422","299,238","346,513"
,"Retail sales, total (excl. motor vehicle and parts dealers)","241,733","239,141","257,802","257,266","281,150","270,363","274,481","272,767","252,819","256,396","251,372","294,160"
,GAFO(1),"82,944","85,539","91,761","87,462","97,590","92,346","92,496","98,336","84,961","88,650","101,013","133,278"
441,Motor vehicle and parts dealers,"65,843","69,030","76,614","73,736","76,127","69,428","69,677","69,676","60,489","55,026","47,866","52,353"
"4411, 4412",Automobile and other motor vehicle dealers,"60,169","63,205","70,321","67,336","69,485","62,743","62,742","63,088","54,121","48,293","41,843","46,201"
4411,Automobile dealers,"56,319","58,684","64,382","60,804","62,079","56,153","56,522","57,661","49,995","44,704","38,987","43,215"
44111,New car dealers,"49,775","51,502","57,091","53,864","55,396","49,500","50,236","51,435","44,333","39,272","34,535","38,654"
44112,Used car dealers,"6,544","7,182","7,291","6,940","6,683","6,653","6,286","6,226","5,662","5,432","4,452","4,561"
4413,"Automotive parts, acc., and tire stores","5,674","5,825","6,293","6,400","6,642","6,685","6,935","6,588","6,368","6,733","6,023","6,152"
"442, 443","Furniture, home furn, electronics, and appliance stores","16,843","16,813","16,910","15,987","17,438","16,752","17,302","17,473","15,723","15,501","18,055","22,307"
442,Furniture and home furnishings stores,"8,163","8,104","8,381","8,029","8,604","8,117","8,495","8,456","7,676","7,712","8,121","8,862"
