NAICS  Code,Kind of Business,Jan. 1992,Feb. 1992,Mar. 1992,Apr. 1992,May-92,Jun. 1992,Jul. 1992,Aug. 1992,Sep. 1992,Oct. 1992,Nov. 1992,Dec. 1992
,"Retail and food services sales, total","146,376","147,079","159,336","163,669","170,068","168,663","169,890","170,364","164,617","173,655","171,547","208,838"
,Retail sales and food services excl motor vehicle and parts,"116,565","115,862","124,200","127,587","133,608","130,274","132,076","134,928","128,734","136,917","139,187","175,771"
,Retail sales and food services excl gasoline stations,"134,277","135,499","147,064","151,226","156,619","155,236","156,016","156,539","151,477","159,992","158,483","195,350"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"104,466","104,282","111,928","115,144","120,159","116,847","118,202","121,103","115,594","123,254","126,123","162,283"
,"Retail sales, total","130,683","131,244","142,488","147,175","152,420","151,849","152,586","152,476","148,158","155,987","154,824","191,347"
,"Retail sales, total (excl. motor vehicle and parts dealers)","100,872","100,027","107,352","111,093","115,960","113,460","114,772","117,040","112,275","119,249","122,464","158,280"
,GAFO(1),"33,906","35,220","38,731","40,548","42,213","40,990","40,956","44,642","41,474","44,896","51,222","78,590"
441,Motor vehicle and parts dealers,"29,811","31,217","35,136","36,082","36,460","38,389","37,814","35,436","35,883","36,738","32,360","33,067"
"4411, 4412",Automobile and other motor vehicle dealers,"26,788","28,203","31,684","32,547","32,883","34,667","34,077","31,809","32,337","32,947","28,908","29,620"
4411,Automobile dealers,"25,800","27,031","30,195","30,583","31,095","32,798","32,185","30,139","30,965","31,578","27,838","28,237"
44111,New car dealers,"24,056","25,041","28,018","27,982","28,924","30,591","29,934","28,052","28,949","29,429","26,171","26,654"
44112,Used car dealers,"1,744","1,990","2,177","2,601","2,171","2,207","2,251","2,087","2,016","2,149","1,667","1,583"
4413,"Automotive parts, acc., and tire stores","3,023","3,014","3,452","3,535","3,577","3,722","3,737","3,627","3,546","3,791","3,452","3,447"
"442, 443","Furniture, home furn, electronics, and appliance stores","7,503","7,398","7,826","7,668","7,846","8,145","8,337","8,263","8,123","8,511","9,106","12,301"
442,Furniture and home furnishings stores,"3,846","3,908","4,157","4,141","4,275","4,357","4,407","4,446","4,328","4,497","4,687","5,287"
4421,Furniture stores,"2,392","2,460","2,607","2,525","2,605","2,604","2,627","2,639","2,611","2,665","2,768","3,049"
4422,Home furnishings stores,"1,454","1,448","1,550","1,616","1,670","1,753","1,780","1,807","1,717","1,832","1,919","2,238"
44221,Floor covering stores,728,731,851,899,856,950,904,917,916,977,940,928
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443,Electronics and appliance stores,"3,657","3,490","3,669","3,527","3,571","3,788","3,930","3,817","3,795","4,014","4,419","7,014"
443141,Household appliance stores,601,576,631,643,662,746,764,727,682,732,753,920
443142,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
444,Building mat. and garden equip. and supplies dealers,"8,964","9,023","10,608","11,630","12,327","12,219","11,658","11,219","11,309","11,605","10,156","10,271"
4441,Building mat. and supplies dealers,"7,637","7,567","8,718","9,330","9,731","10,178","9,981","9,742","9,813","10,018","8,835","8,765"
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
44413,Hardware stores,842,818,958,"1,073","1,232","1,165","1,142","1,081","1,053","1,105","1,037","1,164"
