NAICS  Code,Kind of Business,Jan. 2010,Feb. 2010,Mar. 2010,Apr. 2010,May 2010,Jun. 2010,Jul. 2010,Aug. 2010,Sep. 2010,Oct. 2010,Nov. 2010,Dec. 2010
,"Retail and food services sales, total","314,557","310,925","360,679","356,333","365,605","358,604","361,939","362,627","345,999","355,209","365,828","426,663"
,Retail sales and food services excl motor vehicle and parts,"264,687","259,103","293,231","291,965","300,362","293,904","294,933","296,553","284,345","293,823","306,998","362,151"
,Retail sales and food services excl gasoline stations,"280,412","279,037","323,445","318,036","326,437","320,396","322,885","324,086","308,829","316,729","328,755","387,572"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"230,542","227,215","255,997","253,668","261,194","255,696","255,879","258,012","247,175","255,343","269,925","323,060"
,"Retail sales, total","279,044","275,566","321,305","316,940","324,820","319,183","320,915","322,319","307,638","315,059","328,381","386,878"
,"Retail sales, total (excl. motor vehicle and parts dealers)","229,174","223,744","253,857","252,572","259,577","254,483","253,909","256,245","245,984","253,673","269,551","322,366"
,GAFO(1),"79,913","81,419","89,806","86,903","91,304","88,173","89,423","93,182","85,680","89,244","102,647","136,680"
441,Motor vehicle and parts dealers,"49,870","51,822","67,448","64,368","65,243","64,700","67,006","66,074","61,654","61,386","58,830","64,512"
"4411, 4412",Automobile and other motor vehicle dealers,"44,566","46,213","60,806","57,767","58,792","57,777","60,194","59,027","54,920","54,589","52,325","57,998"
4411,Automobile dealers,"42,162","43,455","56,506","53,010","54,203","53,074","55,880","55,146","51,581","51,489","49,417","55,257"
44111,New car dealers,"37,035","37,155","49,926","47,053","48,346","46,879","49,697","48,858","45,610","45,366","43,813","49,735"
44112,Used car dealers,"5,127","6,300","6,580","5,957","5,857","6,195","6,183","6,288","5,971","6,123","5,604","5,522"
4413,"Automotive parts, acc., and tire stores","5,304","5,609","6,642","6,601","6,451","6,923","6,812","7,047","6,734","6,797","6,505","6,514"
"442, 443","Furniture, home furn, electronics, and appliance stores","13,963","14,322","15,044","13,891","14,545","14,876","15,203","15,467","14,755","14,116","17,115","21,497"
442,Furniture and home furnishings stores,"6,324","6,468","7,271","6,729","6,932","6,902","7,243","7,330","7,101","6,793","7,630","8,482"
4421,Furniture stores,"3,683","3,834","4,091","3,675","3,965","3,749","3,964","3,997","3,933","3,714","4,009","4,050"
4422,Home furnishings stores,"2,641","2,634","3,180","3,054","2,967","3,153","3,279","3,333","3,168","3,079","3,621","4,432"
44221,Floor covering stores,993,"1,085","1,264","1,245","1,121","1,351","1,318","1,381","1,295","1,245","1,165","1,110"
442299,All other home furnishings stores,"1,563","1,467","1,812","1,715","1,749","1,709","1,867","1,861","1,780","1,739","2,362","3,244"
443,Electronics and appliance stores,"7,639","7,854","7,773","7,162","7,613","7,974","7,960","8,137","7,654","7,323","9,485","13,015"
443141,Household appliance stores,"1,112","1,130","1,223","1,245","1,365","1,344","1,355","1,291","1,226","1,192","1,460","1,513"
443142,Electronics stores,"6,527","6,724","6,550","5,917","6,248","6,630","6,605","6,846","6,428","6,131","8,025","11,502"
444,Building mat. and garden equip. and supplies dealers,"15,348","15,469","21,691","26,688","26,238","25,451","23,100","21,698","21,261","21,883","21,462","20,277"
4441,Building mat. and supplies dealers,"13,738","13,750","19,009","21,771","21,871","21,652","20,304","19,349","18,915","18,985","18,714","17,654"
44412,Paint and wallpaper stores,466,484,670,703,727,791,774,784,736,682,638,517
44413,Hardware stores,"1,272","1,227","1,512","1,730","1,825","1,714","1,614","1,502","1,455","1,524","1,631","1,700"
445,Food and beverage stores,"47,072","44,275","48,123","47,050","49,655","47,813","49,732","48,357","47,478","48,583","48,842","53,550"
4451,Grocery stores,"42,985","40,061","43,434","42,236","44,607","42,877","44,559","43,431","42,642","43,536","43,724","46,658"
44511,Supermarkets and other grocery (except convenience) stores,"41,185","38,400","41,542","40,354","42,658","40,944","42,598","41,357","40,710","41,591","41,897","44,770"
4453,"Beer, wine, and liquor stores","2,878","2,916","3,214","3,310","3,467","3,438","3,657","3,454","3,365","3,497","3,524","4,681"
446,Health and personal care stores,"20,721","20,118","22,474","21,471","21,335","21,466","21,342","21,601","21,297","21,796","21,869","24,945"
44611,Pharmacies and drug stores,"17,874","17,171","19,214","18,340","18,295","18,372","18,170","18,328","18,124","18,611","18,724","21,007"
447,Gasoline stations,"34,145","31,888","37,234","38,297","39,168","38,208","39,054","38,541","37,170","38,480","37,073","39,091"
448,Clothing and clothing access. stores,"13,216","14,816","17,390","17,042","17,727","16,138","16,842","17,923","16,232","17,412","20,003","28,545"
4481,Clothing stores,"9,902","10,568","13,125","12,899","13,124","12,164","12,677","13,164","12,322","13,169","15,104","20,058"
44811,Men's clothing stores,476,471,568,630,627,598,544,517,563,634,669,988
44812,Women's clothing stores,"2,304","2,480","3,293","3,334","3,308","2,995","2,847","2,960","3,061","3,214","3,454","4,440"
44814,Family clothing stores,"4,971","5,593","6,875","6,725","6,875","6,334","6,947","7,280","6,383","6,943","8,336","11,246"
44819,Other clothing stores,945,869,941,938,991,984,937,897,839,930,"1,035","1,398"
4482,Shoe stores,"1,706","2,041","2,345","2,223","2,216","2,026","2,190","2,804","2,085","2,173","2,318","3,106"
44831,Jewelry stores,"1,496","2,093","1,783","1,794","2,245","1,802","1,816","1,811","1,684","1,906","2,392","5,087"
451,"Sporting goods, hobby, musical instrument, and book stores","6,247","4,995","6,033","5,659","5,885","6,237","6,092","7,381","6,113","5,658","6,985","10,942"
45111,Sporting goods stores,"2,373","2,303","3,118","3,001","3,078","3,413","3,266","3,415","2,828","2,611","3,107","4,894"
45112,"Hobby, toy, and game stores",958,"1,005","1,161","1,065","1,036","1,030","1,077","1,046","1,080","1,262","2,003","3,082"
451211,Book stores,"2,150",948,948,858,"1,015","1,020","1,003","2,134","1,400",905,978,"1,879"
452,General merchandise stores,"43,853","44,756","48,642","47,749","50,474","48,289","48,616","49,312","45,676","49,036","55,587","71,767"
4521,Department stores,"12,298","12,819","14,632","14,183","14,922","14,273","13,955","14,709","13,520","14,387","18,416","26,641"
452111,Department stores(excl. discount department stores),"3,910","4,398","4,870","5,153","5,133","4,858","4,653","4,927","4,824","5,032","6,607","10,536"
452112,Discount dept. stores,"8,388","8,421","9,762","9,030","9,789","9,415","9,302","9,782","8,696","9,355","11,809","16,105"
4529,Other general merchandise stores,"31,555",31937,34010,"33,566","35,552","34,016","34,661","34,603","32,156","34,649","37,171","45,126"
45291,Warehouse clubs and superstores,"28,171","28,258","29,852","29,350","31,271","29,834","30,555","30,574","28,166","30,371","32,462","39,129"
45299,All other gen. merchandise stores,"3,384","3,679","4,158","4,216","4,281","4,182","4,106","4,029","3,990","4,278","4,709","5,997"
453,Miscellaneous store retailers,"7,244","7,362","8,458","8,245","9,048","9,232","8,740","8,785","8,797","9,159","8,748","10,416"
4532,"Office supplies, stationery, and gift stores","2,634","2,530","2,697","2,562","2,673","2,633","2,670","3,099","2,904","3,022","2,957","3,929"
45321,Office supplies and stationery stores,"1,738","1,550","1,628","1,480","1,411","1,393","1,418","1,884","1,687","1,448","1,462","1,675"
45322,"Gift, novelty, and souvenir stores",896,980,"1,069","1,082","1,262","1,240","1,252","1,215","1,217","1,574","1,495","2,254"
45330,Used merchandise stores,822,866,"1,013",964,997,883,977,973,974,"1,100","1,014","1,217"
454,Nonstore retailers,"27,365","25,743","28,768","26,480","25,502","26,773","25,188","27,180","27,205","27,550","31,867","41,336"
4541,Electronic shopping and mail-order houses,"19,565","18,419","21,629","20,385","20,021","21,027","19,875","21,602","21,327","21,388","25,275","32,975"
45431,Fuel dealers,"4,743","4,147","3,320","2,458","2,074","2,020","1,878","1,982","2,236","2,659","3,223","4,784"
722,Food services and drinking places,"35,513","35,359","39,374","39,393","40,785","39,421","41,024","40,308","38,361","40,150","37,447","39,785"
7224,Drinking places,"1,545","1,572","1,736","1,658","1,690","1,680","1,787","1,745","1,673","1,752","1,647","1,715"
7225,Restaurants and other eating places,"30,952","30,536","34,162","33,799","35,152","34,109","35,598","34,878","32,260","34,116","32,037","34,357"
722511,Full service restaurants,"15,498","15,211","17,098","16,980","17,621","16,714","17,545","16,981","15,709","16,566","15,557","17,219"
"722513, 722514, 722515",Limited service eating places,"15,454","15,325","17,064","16,819","17,531","17,395","18,053","17,897","16,551","17,550","16,480","17,138"
