NAICS  Code,Kind of Business,Jan. 2013,Feb. 2013,Mar. 2013,Apr. 2013,May 2013,Jun. 2013,Jul. 2013,Aug. 2013,Sep. 2013,Oct. 2013,Nov. 2013,Dec. 2013
,"Retail and food services sales, total","375,587","373,987","421,719","408,544","437,188","414,714","422,410","435,005","396,213","415,700","423,786","476,910"
,Retail sales and food services excl motor vehicle and parts,"306,250","300,952","338,082","327,049","350,486","332,143","336,404","346,351","320,722","336,918","348,397","398,715"
,Retail sales and food services excl gasoline stations,"333,892","331,888","374,185","361,983","388,310","366,592","373,002","385,900","350,606","369,683","381,865","434,244"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"264,555","258,853","290,548","280,488","301,608","284,021","286,996","297,246","275,115","290,901","306,476","356,049"
,"Retail sales, total","333,789","332,491","374,155","362,984","389,700","369,274","376,928","388,112","352,560","369,638","378,498","430,321"
,"Retail sales, total (excl. motor vehicle and parts dealers)","264,452","259,456","290,518","281,489","302,998","286,703","290,922","299,458","277,069","290,856","303,109","352,126"
,GAFO(1),"86,277","89,260","100,576","92,369","100,533","96,714","96,485","104,713","92,877","98,173","112,364","142,152"
441,Motor vehicle and parts dealers,"69,337","73,035","83,637","81,495","86,702","82,571","86,006","88,654","75,491","78,782","75,389","78,195"
"4411, 4412",Automobile and other motor vehicle dealers,"62,961","66,549","76,530","74,410","79,282","75,430","78,589","81,005","68,573","71,109","68,379","71,469"
4411,Automobile dealers,"59,941","63,113","71,579","68,859","72,999","69,543","73,089","75,585","64,318","67,065","64,883","68,316"
44111,New car dealers,"53,175","54,716","63,329","61,448","65,809","62,573","66,126","68,316","58,075","60,383","58,700","62,724"
44112,Used car dealers,"6,766","8,397","8,250","7,411","7,190","6,970","6,963","7,269","6,243","6,682","6,183","5,592"
4413,"Automotive parts, acc., and tire stores","6,376","6,486","7,107","7,085","7,420","7,141","7,417","7,649","6,918","7,673","7,010","6,726"
"442, 443","Furniture, home furn, electronics, and appliance stores","15,498","15,396","16,219","14,735","15,802","15,512","16,136","16,971","15,810","16,207","19,353","22,409"
442,Furniture and home furnishings stores,"7,297","7,089","7,875","7,314","7,834","7,558","7,977","8,461","7,848","8,059","8,842","9,195"
4421,Furniture stores,"3,969","3,989","4,479","3,979","4,217","4,087","4,237","4,572","4,267","4,273","4,587","4,230"
4422,Home furnishings stores,"3,328","3,100","3,396","3,335","3,617","3,471","3,740","3,889","3,581","3,786","4,255","4,965"
44221,Floor covering stores,"1,208","1,177","1,296","1,297","1,434","1,409","1,505","1,588","1,479","1,540","1,473","1,340"
442299,All other home furnishings stores,"2,014","1,831","2,004","1,938","2,075","1,947","2,115","2,194","1,991","2,130","2,669","3,523"
443,Electronics and appliance stores,"8,201","8,307","8,344","7,421","7,968","7,954","8,159","8,510","7,962","8,148","10,511","13,214"
443141,Household appliance stores,"1,240","1,289","1,378","1,307","1,478","1,403","1,493","1,471","1,403","1,442","1,599","1,637"
443142,Electronics stores,"6,961","7,018","6,966","6,114","6,490","6,551","6,666","7,039","6,559","6,706","8,912","11,577"
444,Building mat. and garden equip. and supplies dealers,"19,320","18,699","23,213","28,891","32,811","27,864","27,599","26,242","24,428","26,281","24,010","22,439"
4441,Building mat. and supplies dealers,"17,059","16,420","19,810","23,884","26,559","23,541","24,069","23,216","21,595","23,074","21,054","19,264"
44412,Paint and wallpaper stores,660,626,739,835,909,866,926,938,827,839,687,599
44413,Hardware stores,"1,481","1,418","1,621","1,871","2,025","1,907","1,805","1,801","1,680","1,829","1,768","1,824"
445,Food and beverage stores,"51,641","48,570","54,222","50,339","55,212","53,202","54,467","55,047","51,680","53,673","54,684","58,110"
4451,Grocery stores,"47,077","43,830","48,862","45,308","49,542","47,759","48,781","49,287","46,503","48,291","48,917","50,390"
44511,Supermarkets and other grocery (except convenience) stores,"45,231","42,018","46,829","43,268","47,314","45,552","46,483","46,957","44,310","46,091","46,785","48,224"
4453,"Beer, wine, and liquor stores","3,155","3,227","3,624","3,488","3,947","3,809","4,034","4,100","3,631","3,787","4,059","5,215"
446,Health and personal care stores,"23,369","21,823","23,632","22,950","23,711","22,268","23,229","23,530","22,934","24,268","23,342","26,784"
44611,Pharmacies and drug stores,"19,826","18,221","19,625","19,168","19,806","18,547","19,470","19,562","19,217","20,478","19,554","22,074"
447,Gasoline stations,"41,695","42,099","47,534","46,561","48,878","48,122","49,408","49,105","45,607","46,017","41,921","42,666"
448,Clothing and clothing access. stores,"15,155","17,382","20,575","19,176","20,780","18,939","19,176","21,558","18,111","19,855","22,437","31,578"
4481,Clothing stores,"11,294","12,237","15,364","14,100","15,149","14,122","14,312","15,644","13,471","14,816","16,781","21,703"
44811,Men's clothing stores,599,560,682,718,749,678,648,687,681,785,798,"1,085"
44812,Women's clothing stores,"2,664","2,806","3,733","3,511","3,744","3,273","3,184","3,484","3,293","3,515","3,830","4,750"
44814,Family clothing stores,"5,660","6,315","7,980","7,303","7,991","7,496","7,870","8,379","7,082","8,014","9,300","12,016"
44819,Other clothing stores,"1,036","1,144","1,346","1,188","1,194","1,261","1,126","1,311","1,043","1,062","1,209","1,566"
4482,Shoe stores,"1,891","2,405","2,852","2,631","2,658","2,461","2,627","3,531","2,424","2,594","2,766","3,676"
44831,Jewelry stores,"1,793","2,546","2,145","2,246","2,721","2,139","2,020","2,151","2,004","2,235","2,661","5,790"
451,"Sporting goods, hobby, musical instrument, and book stores","6,530","5,584","6,631","5,974","6,406","6,522","6,461","7,726","6,343","6,074","7,522","11,104"
45111,Sporting goods stores,"3,066","3,010","3,822","3,417","3,645","3,939","3,802","4,141","3,212","3,142","3,726","5,479"
45112,"Hobby, toy, and game stores","1,028","1,078","1,250","1,117","1,126","1,066","1,116","1,155","1,172","1,350","2,154","3,295"
451211,Book stores,"1,658",741,707,664,821,724,706,"1,569","1,108",720,744,"1,327"
452,General merchandise stores,"46,603","48,484","54,628","50,029","54,853","53,245","51,940","55,204","49,888","52,902","60,347","73,751"
4521,Department stores,"11,299","12,029","13,905","12,544","14,013","13,309","12,574","14,117","12,481","13,290","16,858","23,775"
