NAICS  Code,Kind of Business,Jan. 1997,Feb. 1997,Mar. 1997,Apr. 1997,May-97,Jun. 1997,Jul. 1997,Aug. 1997,Sep. 1997,Oct. 1997,Nov. 1997,Dec. 1997
,"Retail and food services sales, total","200,389","197,556","225,133","220,329","234,190","227,365","231,521","235,252","222,807","232,251","228,284","271,054"
,Retail sales and food services excl motor vehicle and parts,"151,994","147,430","167,468","164,024","176,251","169,901","173,049","177,182","167,947","176,680","179,711","220,677"
,Retail sales and food services excl gasoline stations,"184,433","182,644","208,571","203,965","216,874","210,316","214,043","217,519","206,016","215,089","212,278","254,683"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"136,038","132,518","150,906","147,660","158,935","152,852","155,571","159,449","151,156","159,518","163,705","204,306"
,"Retail sales, total","181,073","178,428","203,750","199,219","211,516","205,491","208,856","211,952","201,415","210,145","207,533","249,389"
,"Retail sales, total (excl. motor vehicle and parts dealers)","132,678","128,302","146,085","142,914","153,577","148,027","150,384","153,882","146,555","154,574","158,960","199,012"
,GAFO(1),"47,409","47,286","55,045","52,639","57,737","55,641","55,712","60,967","55,307","59,385","67,945","98,314"
441,Motor vehicle and parts dealers,"48,395","50,126","57,665","56,305","57,939","57,464","58,472","58,070","54,860","55,571","48,573","50,377"
"4411, 4412",Automobile and other motor vehicle dealers,"44,005","45,910","52,878","51,308","52,905","52,422","53,165","52,861","49,851","50,341","43,827","45,800"
4411,Automobile dealers,"42,327","43,870","50,056","48,221","49,695","49,284","50,159","49,949","47,367","47,944","41,943","43,843"
44111,New car dealers,"38,950","40,036","45,967","44,106","45,673","45,196","46,093","46,085","43,626","44,122","38,649","40,469"
44112,Used car dealers,"3,377","3,834","4,089","4,115","4,022","4,088","4,066","3,864","3,741","3,822","3,294","3,374"
4413,"Automotive parts, acc., and tire stores","4,390","4,216","4,787","4,997","5,034","5,042","5,307","5,209","5,009","5,230","4,746","4,577"
"442, 443","Furniture, home furn, electronics, and appliance stores","11,120","10,671","11,719","11,351","11,904","11,781","12,245","12,680","12,200","12,540","13,853","18,308"
442,Furniture and home furnishings stores,"5,311","5,116","5,715","5,670","6,010","5,805","6,027","6,263","6,094","6,369","6,781","7,554"
4421,Furniture stores,"3,233","3,114","3,368","3,250","3,519","3,343","3,397","3,621","3,480","3,605","3,862","4,085"
4422,Home furnishings stores,"2,078","2,002","2,347","2,420","2,491","2,462","2,630","2,642","2,614","2,764","2,919","3,469"
44221,Floor covering stores,"1,162","1,127","1,298","1,345","1,340","1,362","1,376","1,355","1,451","1,514","1,368","1,352"
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
443,Electronics and appliance stores,"5,809","5,555","6,004","5,681","5,894","5,976","6,218","6,417","6,106","6,171","7,072","10,754"
443141,Household appliance stores,778,724,809,792,841,919,970,886,828,858,903,"1,066"
443142,Electronics stores,"5,031","4,831","5,195","4,889","5,053","5,057","5,248","5,531","5,278","5,313","6,169","9,688"
444,Building mat. and garden equip. and supplies dealers,"12,505","12,534","15,084","17,183","18,390","17,601","17,455","16,268","16,662","17,319","14,815","15,247"
4441,Building mat. and supplies dealers,"10,767","10,740","12,563","14,083","14,943","14,716","15,012","14,189","14,506","15,003","12,799","12,747"
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
