NAICS  Code,Kind of Business,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011
,"Retail and food services sales, total","335,587","337,314","387,088","380,775","391,999","388,700","384,682","394,609","375,025","379,482","391,220","451,821"
,Retail sales and food services excl motor vehicle and parts,"277,706","274,739","311,920","311,233","322,722","318,499","315,504","323,314","308,069","313,569","327,252","380,837"
,Retail sales and food services excl gasoline stations,"297,569","300,645","342,739","334,922","343,754","341,186","336,482","346,289","329,582","334,367","348,244","409,066"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"239,688","238,070","267,571","265,380","274,477","270,985","267,304","274,994","262,626","268,454","284,276","338,082"
,"Retail sales, total","298,626","299,920","345,052","339,014","348,979","346,620","341,381","352,224","333,642","337,067","351,517","408,910"
,"Retail sales, total (excl. motor vehicle and parts dealers)","240,745","237,345","269,884","269,472","279,702","276,419","272,203","280,929","266,686","271,154","287,549","337,926"
,GAFO(1),"80,468","83,815","92,506","91,906","93,667","92,488","92,485","97,416","90,746","92,528","106,010","141,631"
441,Motor vehicle and parts dealers,"57,881","62,575","75,168","69,542","69,277","70,201","69,178","71,295","66,956","65,913","63,968","70,984"
"4411, 4412",Automobile and other motor vehicle dealers,"52,158","56,531","67,947","62,778","62,333","62,666","62,092","63,556","59,708","58,769","57,102","64,334"
4411,Automobile dealers,"49,715","53,613","63,613","58,223","57,538","57,741","57,556","59,357","56,243","55,583","54,192","61,131"
44111,New car dealers,"43,739","46,318","55,952","51,777","51,278","51,281","51,208","52,919","50,292","49,873","48,662","55,489"
44112,Used car dealers,"5,976","7,295","7,661","6,446","6,260","6,460","6,348","6,438","5,951","5,710","5,530","5,642"
4413,"Automotive parts, acc., and tire stores","5,723","6,044","7,221","6,764","6,944","7,535","7,086","7,739","7,248","7,144","6,866","6,650"
"442, 443","Furniture, home furn, electronics, and appliance stores","13,829","14,276","15,727","14,231","14,711","14,913","15,276","16,145","15,221","14,865","18,124","22,246"
442,Furniture and home furnishings stores,"6,244","6,488","7,530","6,896","7,086","7,039","7,241","7,685","7,450","6,967","7,931","9,029"
4421,Furniture stores,"3,576","3,871","4,304","3,902","3,861","3,792","4,002","4,132","4,051","3,741","4,126","4,300"
4422,Home furnishings stores,"2,668","2,617","3,226","2,994","3,225","3,247","3,239","3,553","3,399","3,226","3,805","4,729"
44221,Floor covering stores,947,959,"1,211","1,127","1,261","1,295","1,271","1,472","1,395","1,302","1,263","1,255"
442299,All other home furnishings stores,"1,629","1,564","1,907","1,783","1,874","1,869","1,886","1,989","1,907","1,828","2,451","3,393"
443,Electronics and appliance stores,"7,585","7,788","8,197","7,335","7,625","7,874","8,035","8,460","7,771","7,898","10,193","13,217"
443141,Household appliance stores,"1,077","1,141","1,215","1,181","1,274","1,314","1,334","1,360","1,383","1,277","1,612","1,639"
443142,Electronics stores,"6,508","6,647","6,982","6,154","6,351","6,560","6,701","7,100","6,388","6,621","8,581","11,578"
444,Building mat. and garden equip. and supplies dealers,"16,004","16,002","21,963","24,378","27,713","27,011","23,528","23,730","22,499","23,077","22,372","21,203"
4441,Building mat. and supplies dealers,"14,265","14,196","18,974","20,310","22,769","22,556","20,828","21,167","20,054","19,992","19,415","18,123"
44412,Paint and wallpaper stores,510,533,685,704,708,853,801,862,791,740,667,569
44413,Hardware stores,"1,322","1,240","1,498","1,747","2,033","1,918","1,759","1,779","1,626","1,705","1,694","1,720"
445,Food and beverage stores,"48,438","45,575","49,729","50,588","51,441","51,040","52,522","51,575","49,925","50,887","51,352","56,065"
4451,Grocery stores,"44,282","41,229","45,068","45,586","46,318","45,883","47,171","46,448","44,877","45,725","46,046","48,843"
44511,Supermarkets and other grocery (except convenience) stores,"42,501","39,485","43,103","43,535","44,129","43,716","44,937","44,275","42,867","43,751","44,156","46,916"
4453,"Beer, wine, and liquor stores","2,888","2,984","3,249","3,363","3,471","3,551","3,740","3,576","3,517","3,515","3,646","4,892"
446,Health and personal care stores,"22,218","21,284","23,623","22,246","22,766","22,381","21,864","22,982","22,173","22,510","22,326","25,239"
44611,Pharmacies and drug stores,"19,155","18,117","20,042","18,944","19,505","19,081","18,541","19,481","18,845","19,302","19,103","21,133"
447,Gasoline stations,"38,018","36,669","44,349","45,853","48,245","47,514","48,200","48,320","45,443","45,115","42,976","42,755"
448,Clothing and clothing access. stores,"13,703","15,931","18,252","18,647","18,771","17,783","17,937","19,263","17,999","18,255","20,957","31,108"
4481,Clothing stores,"10,162","11,370","13,715","13,859","13,648","13,271","13,415","13,889","13,431","13,793","15,816","21,726"
44811,Men's clothing stores,487,497,599,690,677,661,587,549,643,682,707,"1,081"
44812,Women's clothing stores,"2,345","2,753","3,449","3,582","3,508","3,285","3,060","3,027","3,301","3,297","3,625","4,816"
