user_id,purch_date,amount
1035,"2020-01-01",2.99
1054,"2020-01-01",2.99
1397,"2020-01-01",2.99
1442,"2020-01-01",2.99
1494,"2020-01-01",2.99
1519,"2020-01-01",2.99
1524,"2020-01-01",2.99
1647,"2020-01-01",2.99
2175,"2020-01-01",2.99
2177,"2020-01-01",2.99
2207,"2020-01-01",2.99
2315,"2020-01-01",2.99
2329,"2020-01-01",2.99
2417,"2020-01-01",2.99
2537,"2020-01-01",2.99
2619,"2020-01-01",2.99
2698,"2020-01-01",2.99
2781,"2020-01-01",2.99
1009,"2020-01-02",10
1260,"2020-01-02",10
1415,"2020-01-02",10
1505,"2020-01-02",10
1608,"2020-01-02",10
1710,"2020-01-02",10
1725,"2020-01-02",10
1887,"2020-01-02",10
1965,"2020-01-02",10
2068,"2020-01-02",10
2078,"2020-01-02",10
2114,"2020-01-02",10
2241,"2020-01-02",10
2255,"2020-01-02",10
2336,"2020-01-02",10
2383,"2020-01-02",10
2401,"2020-01-02",10
2450,"2020-01-02",10
2552,"2020-01-02",10
2721,"2020-01-02",10
2859,"2020-01-02",2.99
1079,"2020-01-03",10
1087,"2020-01-03",10
1197,"2020-01-03",10
1306,"2020-01-03",10
1319,"2020-01-03",10
1395,"2020-01-03",10
1445,"2020-01-03",10
1577,"2020-01-03",10
1662,"2020-01-03",10
1758,"2020-01-03",10
1790,"2020-01-03",10
1821,"2020-01-03",10
1916,"2020-01-03",10
1980,"2020-01-03",10
2084,"2020-01-03",10
2095,"2020-01-03",10
2097,"2020-01-03",10
2325,"2020-01-03",10
2330,"2020-01-03",10
2346,"2020-01-03",10
2374,"2020-01-03",10
2634,"2020-01-03",10
2635,"2020-01-03",10
2794,"2020-01-03",10
2905,"2020-01-03",2.99
2928,"2020-01-03",2.99
2996,"2020-01-03",2.99
2997,"2020-01-03",2.99
3160,"2020-01-03",2.99
3167,"2020-01-03",2.99
3281,"2020-01-03",2.99
3301,"2020-01-03",2.99
3467,"2020-01-03",2.99
3654,"2020-01-03",2.99
3957,"2020-01-03",2.99
3972,"2020-01-03",2.99
3991,"2020-01-03",2.99
3999,"2020-01-03",2.99
4037,"2020-01-03",2.99
4077,"2020-01-03",2.99
4180,"2020-01-03",2.99
4243,"2020-01-03",2.99
4305,"2020-01-03",2.99
4360,"2020-01-03",2.99
1044,"2020-01-04",10
1047,"2020-01-04",10
1057,"2020-01-04",10
1116,"2020-01-04",10
1145,"2020-01-04",10
1188,"2020-01-04",10
1203,"2020-01-04",10
1250,"2020-01-04",10
1359,"2020-01-04",10
1435,"2020-01-04",10
1564,"2020-01-04",10
1587,"2020-01-04",10
1626,"2020-01-04",10
1659,"2020-01-04",10
1672,"2020-01-04",10
1679,"2020-01-04",10
1837,"2020-01-04",10
1984,"2020-01-04",10
2293,"2020-01-04",10
2590,"2020-01-04",10
2720,"2020-01-04",10
2768,"2020-01-04",10
2896,"2020-01-04",10
3113,"2020-01-04",10
3115,"2020-01-04",10
3169,"2020-01-04",10
3190,"2020-01-04",10
3305,"2020-01-04",10
3353,"2020-01-04",10
3461,"2020-01-04",10
3576,"2020-01-04",10
3687,"2020-01-04",10
3753,"2020-01-04",10
3924,"2020-01-04",10
4005,"2020-01-04",10
4135,"2020-01-04",10
4545,"2020-01-04",2.99
4587,"2020-01-04",2.99
4610,"2020-01-04",2.99
4691,"2020-01-04",2.99
4797,"2020-01-04",2.99
4834,"2020-01-04",2.99
4958,"2020-01-04",2.99
5117,"2020-01-04",2.99
5137,"2020-01-04",2.99
5200,"2020-01-04",2.99
5280,"2020-01-04",2.99
5337,"2020-01-04",2.99
5380,"2020-01-04",2.99
5405,"2020-01-04",2.99
5474,"2020-01-04",2.99
5612,"2020-01-04",2.99
5652,"2020-01-04",2.99
1172,"2020-01-05",10
1320,"2020-01-05",10
1370,"2020-01-05",10
1531,"2020-01-05",10
1617,"2020-01-05",10
